ons_id;ons_region_id;constituency_name;county_name;region_name;country_name;constituency_type;declaration_time;mp_firstname;mp_surname;mp_gender;result;first_party;second_party;electorate;valid_votes;invalid_votes;majority;con;lab;ld;brexit;green;snp;pc;dup;sf;sdlp;uup;alliance;other;other_winner;mp_fullname;majority_percent;majority_rank;turnout_const;turnout_reg;turnout_uk;turnout_2017
E14000591;E12000007;Brent Central;London;London;England;Borough;12/13/19 3:37;Dawn;Butler;Female;Lab hold;Lab;Con;84032;49132;224;20870;10909;31779;4844;0;1600;0;0;0;0;0;0;0;0;0;Dawn Butler;0,424774077993975;93;0,584682025894897;0,67469636048204;0,673108310793613;0,649647821712071
E14000593;E12000007;Brentford and Isleworth;London;London;England;Borough;12/13/19 4:22;Ruth;Cadbury;Female;Lab hold;Lab;Con;85775;58326;145;10514;18752;29266;7314;1165;1829;0;0;0;0;0;0;0;0;0;Ruth Cadbury;0,180262661591743;391;0,679988341591373;0,67469636048204;0,673108310793613;0,723650838382415
E14000592;E12000007;Brent North;London;London;England;Borough;12/13/19 3:36;Barry;Gardiner;Male;Lab hold;Lab;Con;83788;51879;199;8079;18832;26911;4065;951;850;0;0;0;0;0;0;0;270;0;Barry Gardiner;0,155727751113167;431;0,619169809519263;0,67469636048204;0,673108310793613;0,683614519117807
E14000594;E12000006;Brentwood and Ongar;Essex;East;England;County;12/13/19 3:11;Alex;Burghart;Male;Con hold;Con;Lab;75255;52949;238;29065;36308;7243;7187;0;1679;0;0;0;0;0;0;0;532;0;Alex Burghart;0,548924436722129;30;0,703594445551791;0,682459959038198;0,673108310793613;0,70483701226904
W07000073;W92000004;Bridgend;Gwent and Mid Glamorgan;Wales;Wales;County;12/13/19 3:07;Jamie;Wallis;Male;Con gain from Lab;Con;Lab;63303;42236;101;1157;18193;17036;2368;1811;815;0;2013;0;0;0;0;0;0;0;Jamie Wallis;0,0273936925845251;613;0,667203766014249;0,665721049768388;0,673108310793613;0,695585752191043
E14000595;E12000009;Bridgwater and West Somerset;Somerset;South West;England;County;12/13/19 4:37;Ian;Liddell-Grainger;Male;Con hold;Con;Lab;85327;57652;279;24439;35827;11388;7805;0;1877;0;0;0;0;0;0;0;755;0;Ian Liddell-Grainger;0,423905501977382;95;0,675659521605119;0,720191104120187;0,673108310793613;0,652529845230363
E14000596;E12000003;Brigg and Goole;Humberside;Yorkshire and The Humber;England;County;12/13/19 4:04;Andrew;Percy;Male;Con hold;Con;Lab;65939;43402;178;21941;30941;9000;2180;0;1281;0;0;0;0;0;0;0;0;0;Andrew Percy;0,505529699092208;36;0,658214410288297;0,643471527266342;0,673108310793613;0,681968850746946
E14000597;E12000008;Brighton, Kemptown;East Sussex;South East;England;Borough;12/13/19 3:44;Lloyd;Russell-Moyle;Male;Lab hold;Lab;Con;69833;48533;140;8061;16972;25033;2964;1327;2237;0;0;0;0;0;0;0;0;0;Lloyd Russell-Moyle;0,166093173716852;417;0,694986610914611;0,702066082349098;0,673108310793613;0,724772804265535
E14000598;E12000008;Brighton, Pavilion;East Sussex;South East;England;Borough;12/13/19 4:21;Caroline;Lucas;Female;Green hold;Green;Lab;79057;57998;158;19940;10176;13211;0;770;33151;0;0;0;0;0;0;0;690;0;Caroline Lucas;0,343804958791682;195;0,733622576115967;0,702066082349098;0,673108310793613;0,764207932596773
E14000599;E12000009;Bristol East;Avon;South West;England;Borough;12/13/19 3:34;Kerry;McCarthy;Female;Lab hold;Lab;Con;73867;52154;157;10794;16923;27717;3527;1881;2106;0;0;0;0;0;0;0;0;0;Kerry McCarthy;0,206963991256663;361;0,706052770519989;0,720191104120187;0,673108310793613;0,701498308361527
