,areaname,population,date,newcasesbypublishdate,cases_per_100k
6178,Scotland,5454000,01/06/2021,478,8.764209754308764
1733,North East,2597000,01/06/2021,78,3.0034655371582595
1197,London,8899375,01/06/2021,384,4.314909754898518
3877,West Midlands,2928000,01/06/2021,195,6.659836065573771
4413,Yorkshire and the Humber,5486000,01/06/2021,289,5.267954794021144
1532,London,8899375,01/07/2020,6025,67.70138352412388
2068,North East,2597000,01/07/2020,4484,172.6607624181748
3676,South West,5616000,01/07/2020,4744,84.47293447293447
3140,South East,9175000,01/07/2020,10737,117.02452316076294
460,East Midlands,4533000,01/07/2020,10820,238.6940216192367
4212,West Midlands,2928000,01/07/2020,8099,276.6051912568306
5913,Northern Ireland,1885000,01/07/2020,1,0.05305039787798409
4748,Yorkshire and the Humber,5486000,01/07/2020,13426,244.73204520597886
6513,Scotland,5454000,01/07/2020,8,0.1466813348001467
5306,Wales,3136000,01/07/2020,32,1.0204081632653061
996,East of England,5847000,01/07/2020,7898,135.07781768428254
2604,North West,7300000,01/07/2020,14996,205.4246575342466
5548,Northern Ireland,1885000,01/07/2021,326,17.29442970822281
4383,Yorkshire and the Humber,5486000,01/07/2021,2810,51.22129055778345
1167,London,8899375,01/07/2021,2705,30.395392934897114
3311,South West,5616000,01/07/2021,1767,31.463675213675216
631,East of England,5847000,01/07/2021,1502,25.68838720711476
2775,South East,9175000,01/07/2021,2725,29.70027247956403
2239,North West,7300000,01/07/2021,4366,59.80821917808219
95,East Midlands,4533000,01/07/2021,1561,34.43635561438341
3847,West Midlands,2928000,01/07/2021,2435,83.16256830601093
6148,Scotland,5454000,01/07/2021,4234,77.63109644297762
4941,Wales,3136000,01/07/2021,481,15.338010204081634
1703,North East,2597000,01/07/2021,2496,96.1108971890643
6482,Scotland,5454000,01/08/2020,18,0.33003300330033003
4717,Yorkshire and the Humber,5486000,01/08/2020,106,1.9321910317170983
5275,Wales,3136000,01/08/2020,21,0.6696428571428571
429,East Midlands,4533000,01/08/2020,77,1.6986543128171188
3645,South West,5616000,01/08/2020,49,0.8725071225071225
1501,London,8899375,01/08/2020,103,1.1573846477983005
4181,West Midlands,2928000,01/08/2020,64,2.185792349726776
3109,South East,9175000,01/08/2020,72,0.7847411444141689
2573,North West,7300000,01/08/2020,172,2.356164383561644
2037,North East,2597000,01/08/2020,14,0.5390835579514824
965,East of England,5847000,01/08/2020,61,1.043270053018642
5882,Northern Ireland,1885000,01/08/2020,0,0.0
5517,Northern Ireland,1885000,01/08/2021,1072,56.870026525198945
3280,South West,5616000,01/08/2021,2328,41.452991452991455
600,East of England,5847000,01/08/2021,2084,35.64220968017787
4352,Yorkshire and the Humber,5486000,01/08/2021,2818,51.36711629602625
4910,Wales,3136000,01/08/2021,719,22.927295918367346
2744,South East,9175000,01/08/2021,2912,31.73841961852861
1136,London,8899375,01/08/2021,3121,35.069878502703844
1672,North East,2597000,01/08/2021,1035,39.8536773199846
64,East Midlands,4533000,01/08/2021,2028,44.73858371939113
2208,North West,7300000,01/08/2021,2939,40.26027397260274
3816,West Midlands,2928000,01/08/2021,1921,65.60792349726775
6117,Scotland,5454000,01/08/2021,1034,18.958562522918957
398,East Midlands,4533000,01/09/2020,61,1.3456871828810941
4686,Yorkshire and the Humber,5486000,01/09/2020,117,2.132701421800948
4150,West Midlands,2928000,01/09/2020,101,3.4494535519125686
934,East of England,5847000,01/09/2020,108,1.8471010774756285
1470,London,8899375,01/09/2020,188,2.112507900835733
2542,North West,7300000,01/09/2020,200,2.7397260273972606
5851,Northern Ireland,1885000,01/09/2020,49,2.59946949602122
3614,South West,5616000,01/09/2020,49,0.8725071225071225
3078,South East,9175000,01/09/2020,127,1.3841961852861036
5244,Wales,3136000,01/09/2020,51,1.6262755102040816
6451,Scotland,5454000,01/09/2020,154,2.8236156949028235
2006,North East,2597000,01/09/2020,89,3.4270311898344246
6086,Scotland,5454000,01/09/2021,6170,113.12797946461312
1641,North East,2597000,01/09/2021,1277,49.17212167886022
2177,North West,7300000,01/09/2021,3309,45.32876712328767
2713,South East,9175000,01/09/2021,3783,41.23160762942779
5486,Northern Ireland,1885000,01/09/2021,1472,78.09018567639258
33,East Midlands,4533000,01/09/2021,2484,54.79814692256784
569,East of England,5847000,01/09/2021,2662,45.52762100222336
3249,South West,5616000,01/09/2021,2414,42.984330484330485
3785,West Midlands,2928000,01/09/2021,2748,93.85245901639345
1105,London,8899375,01/09/2021,2834,31.84493293068333
4879,Wales,3136000,01/09/2021,3328,106.12244897959184
4321,Yorkshire and the Humber,5486000,01/09/2021,2863,52.187386073642
4656,Yorkshire and the Humber,5486000,01/10/2020,823,15.001822821728036
368,East Midlands,4533000,01/10/2020,428,9.441870725788661
4120,West Midlands,2928000,01/10/2020,606,20.69672131147541
3584,South West,5616000,01/10/2020,169,3.0092592592592595
5214,Wales,3136000,01/10/2020,398,12.691326530612246
3048,South East,9175000,01/10/2020,268,2.9209809264305178
2512,North West,7300000,01/10/2020,2031,27.82191780821918
5821,Northern Ireland,1885000,01/10/2020,259,13.740053050397877
1976,North East,2597000,01/10/2020,363,13.97766653831344
1440,London,8899375,01/10/2020,551,6.191446028513239
6421,Scotland,5454000,01/10/2020,668,12.24789145581225
904,East of England,5847000,01/10/2020,275,4.703266632461091
539,East of England,5847000,01/10/2021,2822,48.264067042928
1075,London,8899375,01/10/2021,2195,24.664653416672518
3755,West Midlands,2928000,01/10/2021,4203,143.54508196721312
2683,South East,9175000,01/10/2021,3148,34.310626702997276
3219,South West,5616000,01/10/2021,2578,45.9045584045584
6056,Scotland,5454000,01/10/2021,2693,49.37660432709937
2147,North West,7300000,01/10/2021,4169,57.109589041095894
4291,Yorkshire and the Humber,5486000,01/10/2021,3719,67.79074006562158
