Political party;Region;Number of people
INVALID BALLOTS CAST ON POLLING STATION;13. HADERSLEV;429
INVALID BALLOTS CAST ON POLLING STATION;MIDTJYLLAND-NORDJYLLAND;10715
INVALID BALLOTS CAST ON POLLING STATION;ØSTJYLLANDS STORKREDS;4498
INVALID BALLOTS CAST ON POLLING STATION;1. ÅRHUS SYD;420
INVALID BALLOTS CAST ON POLLING STATION;2. ÅRHUS VEST;458
INVALID BALLOTS CAST ON POLLING STATION;3. ÅRHUS NORD;494
INVALID BALLOTS CAST ON POLLING STATION;4. ÅRHUS ØST;515
INVALID BALLOTS CAST ON POLLING STATION;5. DJURS;462
INVALID BALLOTS CAST ON POLLING STATION;6. RANDERS NORD;240
INVALID BALLOTS CAST ON POLLING STATION;7. RANDERS SYD;301
INVALID BALLOTS CAST ON POLLING STATION;8. FAVRSKOV;276
INVALID BALLOTS CAST ON POLLING STATION;9. SKANDERBORG;449
INVALID BALLOTS CAST ON POLLING STATION;10. HORSENS;551
INVALID BALLOTS CAST ON POLLING STATION;11. HEDENSTED;332
INVALID BALLOTS CAST ON POLLING STATION;VESTJYLLANDS STORKREDS;2954
INVALID BALLOTS CAST ON POLLING STATION;9. HERNING NORD;227
INVALID BALLOTS CAST ON POLLING STATION;10. HOLSTEBRO;286
INVALID BALLOTS CAST ON POLLING STATION;11. RINGKØBING;261
INVALID BALLOTS CAST ON POLLING STATION;1. STRUER;234
INVALID BALLOTS CAST ON POLLING STATION;2. SKIVE;280
INVALID BALLOTS CAST ON POLLING STATION;3. VIBORG VEST;362
INVALID BALLOTS CAST ON POLLING STATION;4. VIBORG ØST;253
INVALID BALLOTS CAST ON POLLING STATION;5. SILKEBORG NORD;257
INVALID BALLOTS CAST ON POLLING STATION;6. SILKEBORG SYD;278
INVALID BALLOTS CAST ON POLLING STATION;7. IKAST;263
INVALID BALLOTS CAST ON POLLING STATION;8. HERNING SYD;253
INVALID BALLOTS CAST ON POLLING STATION;NORDJYLLANDS STORKREDS;3263
INVALID BALLOTS CAST ON POLLING STATION;1. FREDERIKSHAVN;420
INVALID BALLOTS CAST ON POLLING STATION;2. HJØRRING;377
INVALID BALLOTS CAST ON POLLING STATION;3. BRØNDERSLEV;399
INVALID BALLOTS CAST ON POLLING STATION;4. THISTED;283
INVALID BALLOTS CAST ON POLLING STATION;5. HIMMERLAND;331
INVALID BALLOTS CAST ON POLLING STATION;6. MARIAGERFJORD;230
INVALID BALLOTS CAST ON POLLING STATION;7. AALBORG ØST;486
INVALID BALLOTS CAST ON POLLING STATION;8. AALBORG VEST;352
INVALID BALLOTS CAST ON POLLING STATION;9. AALBORG NORD;385
Blanks;All DENMARK;25737
Blanks;HOVEDSTADEN;6521
Blanks;KØBENHAVNS STORKREDS;2599
Blanks;1. ØSTERBRO;220
Blanks;2. SUNDBYVESTER;258
Blanks;3. INDRE BY;171
Blanks;4. SUNDBYØSTER;223
Blanks;5. NØRREBRO;251
Blanks;6. BISPEBJERG;187
Blanks;7. BRØNSHØJ;303
Blanks;8. VALBY;263
Blanks;9. VESTERBRO;217
Blanks;10. FALKONER;118
Blanks;11. SLOTS;139
Blanks;12. TÅRNBY;249
Blanks;KØBENHAVNS OMEGNS STORKREDS;2067
Blanks;1. GENTOFTE;166
Blanks;2. LYNGBY;178
Blanks;3. GLADSAXE;263
Blanks;4. RØDOVRE;303
Blanks;5. HVIDOVRE;220
Blanks;6. BRØNDBY;262
Blanks;7. TAASTRUP;325
Blanks;8. BALLERUP;350
Blanks;NORDSJÆLLANDS STORKREDS;1676
Blanks;1. HELSINGØR;254
Blanks;2. FREDENSBORG;180
Blanks;3. HILLERØD;353
Blanks;4. FREDERIKSSUND;323
Blanks;5. EGEDAL;315
Blanks;6. RUDERSDAL;251
Blanks;BORNHOLMS STORKREDS;179
Blanks;1. RØNNE;108
Blanks;2. AAKIRKEBY;71
Blanks;SJÆLLAND-SYDDANMARK;10526
Blanks;SJÆLLANDS STORKREDS;3832
Blanks;1. LOLLAND;198
Blanks;2. GULDBORGSUND;342
Blanks;3. VORDINGBORG;256
Blanks;4. NÆSTVED;364
Blanks;5. FAXE;292
Blanks;6. KØGE;391
Blanks;7. GREVE;233
Blanks;8. ROSKILDE;371
Blanks;9. HOLBÆK;326
Blanks;10. KALUNDBORG;400
Blanks;11. RINGSTED;284
Blanks;12. SLAGELSE;375
Blanks;FYNS STORKREDS;2875
Blanks;1. ODENSE ØST;459
Blanks;2. ODENSE VEST;348
Blanks;3. ODENSE SYD;383
Blanks;4. ASSENS;251
Blanks;5. MIDDELFART;371
Blanks;6. NYBORG;311
Blanks;7. SVENDBORG;426
Blanks;8. FAABORG;326
Blanks;SYDJYLLANDS STORKREDS;3819
Blanks;1. SØNDERBORG;407
Blanks;2. AABENRAA;281
Blanks;3. TØNDER;217
Blanks;4. ESBJERG BY;365
Blanks;5. ESBJERG OMEGN;283
Blanks;6. VARDE;275
Blanks;7. VEJEN;346
Blanks;8. VEJLE NORD;255
Blanks;9. VEJLE SYD;330
Blanks;10. FREDERICIA;313
Blanks;11. KOLDING NORD;191
Blanks;12. KOLDING SYD;212
Blanks;13. HADERSLEV;344
Blanks;MIDTJYLLAND-NORDJYLLAND;8690
Blanks;ØSTJYLLANDS STORKREDS;3730
Blanks;1. ÅRHUS SYD;327
Blanks;2. ÅRHUS VEST;360
Blanks;3. ÅRHUS NORD;404
Blanks;4. ÅRHUS ØST;430
Blanks;5. DJURS;391
Blanks;6. RANDERS NORD;203
Blanks;7. RANDERS SYD;256
Blanks;8. FAVRSKOV;245
Blanks;9. SKANDERBORG;395
Blanks;10. HORSENS;446
Blanks;11. HEDENSTED;273
Blanks;VESTJYLLANDS STORKREDS;2368
Blanks;9. HERNING NORD;196
Blanks;10. HOLSTEBRO;245
Blanks;11. RINGKØBING;222
Blanks;1. STRUER;178
Blanks;2. SKIVE;236
Blanks;3. VIBORG VEST;277
Blanks;4. VIBORG ØST;167
Blanks;5. SILKEBORG NORD;213
Blanks;6. SILKEBORG SYD;217
Blanks;7. IKAST;198
Blanks;8. HERNING SYD;219
Blanks;NORDJYLLANDS STORKREDS;2592
Blanks;1. FREDERIKSHAVN;241
Blanks;2. HJØRRING;282
Blanks;3. BRØNDERSLEV;319
Blanks;4. THISTED;220
Blanks;5. HIMMERLAND;277
Blanks;6. MARIAGERFJORD;195
Blanks;7. AALBORG ØST;420
Blanks;8. AALBORG VEST;310
Blanks;9. AALBORG NORD;328
Other mark than cross used;All DENMARK;1665
Other mark than cross used;HOVEDSTADEN;402
Other mark than cross used;KØBENHAVNS STORKREDS;163
Other mark than cross used;1. ØSTERBRO;16
Other mark than cross used;2. SUNDBYVESTER;11
Other mark than cross used;3. INDRE BY;8
Other mark than cross used;4. SUNDBYØSTER;22
Other mark than cross used;5. NØRREBRO;17
Other mark than cross used;6. BISPEBJERG;13
Other mark than cross used;7. BRØNSHØJ;21
Other mark than cross used;8. VALBY;26
Other mark than cross used;9. VESTERBRO;12
Other mark than cross used;10. FALKONER;12
Other mark than cross used;11. SLOTS;4
Other mark than cross used;12. TÅRNBY;1
Other mark than cross used;KØBENHAVNS OMEGNS STORKREDS;162
Other mark than cross used;1. GENTOFTE;9
Other mark than cross used;2. LYNGBY;11
Other mark than cross used;3. GLADSAXE;39
Other mark than cross used;4. RØDOVRE;16
Other mark than cross used;5. HVIDOVRE;3
Other mark than cross used;6. BRØNDBY;31
Other mark than cross used;7. TAASTRUP;37
Other mark than cross used;8. BALLERUP;16
Other mark than cross used;NORDSJÆLLANDS STORKREDS;76
Other mark than cross used;1. HELSINGØR;19
Other mark than cross used;2. FREDENSBORG;0
Other mark than cross used;3. HILLERØD;10
Other mark than cross used;4. FREDERIKSSUND;23
Other mark than cross used;5. EGEDAL;13
Other mark than cross used;6. RUDERSDAL;11
Other mark than cross used;BORNHOLMS STORKREDS;1
Other mark than cross used;1. RØNNE;0
Other mark than cross used;2. AAKIRKEBY;1
Other mark than cross used;SJÆLLAND-SYDDANMARK;780
Other mark than cross used;SJÆLLANDS STORKREDS;266
Other mark than cross used;1. LOLLAND;1
Other mark than cross used;2. GULDBORGSUND;20
Other mark than cross used;3. VORDINGBORG;11
Other mark than cross used;4. NÆSTVED;20
Other mark than cross used;5. FAXE;9
Other mark than cross used;6. KØGE;15
Other mark than cross used;7. GREVE;40
Other mark than cross used;8. ROSKILDE;43
Other mark than cross used;9. HOLBÆK;27
Other mark than cross used;10. KALUNDBORG;70
Other mark than cross used;11. RINGSTED;9
Other mark than cross used;12. SLAGELSE;1
Other mark than cross used;FYNS STORKREDS;224
Other mark than cross used;1. ODENSE ØST;71
Other mark than cross used;2. ODENSE VEST;45
Other mark than cross used;3. ODENSE SYD;17
Other mark than cross used;4. ASSENS;9
Other mark than cross used;5. MIDDELFART;14
Other mark than cross used;6. NYBORG;32
Other mark than cross used;7. SVENDBORG;16
Other mark than cross used;8. FAABORG;20
Other mark than cross used;SYDJYLLANDS STORKREDS;290
Other mark than cross used;1. SØNDERBORG;33
Other mark than cross used;2. AABENRAA;26
Other mark than cross used;3. TØNDER;25
Other mark than cross used;4. ESBJERG BY;29
Other mark than cross used;5. ESBJERG OMEGN;27
Other mark than cross used;6. VARDE;9
Other mark than cross used;7. VEJEN;16
Other mark than cross used;8. VEJLE NORD;14
Other mark than cross used;9. VEJLE SYD;38
Other mark than cross used;10. FREDERICIA;3
Other mark than cross used;11. KOLDING NORD;21
Other mark than cross used;12. KOLDING SYD;14
Other mark than cross used;13. HADERSLEV;35
Other mark than cross used;MIDTJYLLAND-NORDJYLLAND;483
Other mark than cross used;ØSTJYLLANDS STORKREDS;155
Other mark than cross used;1. ÅRHUS SYD;26
Other mark than cross used;2. ÅRHUS VEST;27
Other mark than cross used;3. ÅRHUS NORD;27
Other mark than cross used;4. ÅRHUS ØST;10
Other mark than cross used;5. DJURS;12
Other mark than cross used;6. RANDERS NORD;2
Other mark than cross used;7. RANDERS SYD;4
Other mark than cross used;8. FAVRSKOV;4
Other mark than cross used;9. SKANDERBORG;9
Other mark than cross used;10. HORSENS;22
Other mark than cross used;11. HEDENSTED;12
Other mark than cross used;VESTJYLLANDS STORKREDS;156
Other mark than cross used;9. HERNING NORD;3
Other mark than cross used;10. HOLSTEBRO;1
Other mark than cross used;11. RINGKØBING;6
Other mark than cross used;1. STRUER;13
Other mark than cross used;2. SKIVE;8
Other mark than cross used;3. VIBORG VEST;34
Other mark than cross used;4. VIBORG ØST;39
Other mark than cross used;5. SILKEBORG NORD;10
Other mark than cross used;6. SILKEBORG SYD;14
Other mark than cross used;7. IKAST;24
Other mark than cross used;8. HERNING SYD;4
Other mark than cross used;NORDJYLLANDS STORKREDS;172
Other mark than cross used;1. FREDERIKSHAVN;76
Other mark than cross used;2. HJØRRING;19
Other mark than cross used;3. BRØNDERSLEV;23
Other mark than cross used;4. THISTED;6
Other mark than cross used;5. HIMMERLAND;19
Other mark than cross used;6. MARIAGERFJORD;2
Other mark than cross used;7. AALBORG ØST;5
Other mark than cross used;8. AALBORG VEST;8
Other mark than cross used;9. AALBORG NORD;14
Partly or completely crossed over;All DENMARK;270
Partly or completely crossed over;HOVEDSTADEN;66
Partly or completely crossed over;KØBENHAVNS STORKREDS;31
Partly or completely crossed over;1. ØSTERBRO;1
Partly or completely crossed over;2. SUNDBYVESTER;4
Partly or completely crossed over;3. INDRE BY;0
Partly or completely crossed over;4. SUNDBYØSTER;6
Partly or completely crossed over;5. NØRREBRO;2
Partly or completely crossed over;6. BISPEBJERG;4
Partly or completely crossed over;7. BRØNSHØJ;5
Partly or completely crossed over;8. VALBY;3
Partly or completely crossed over;9. VESTERBRO;3
Partly or completely crossed over;10. FALKONER;0
Partly or completely crossed over;11. SLOTS;1
Partly or completely crossed over;12. TÅRNBY;2
Partly or completely crossed over;KØBENHAVNS OMEGNS STORKREDS;19
Partly or completely crossed over;1. GENTOFTE;4
Partly or completely crossed over;2. LYNGBY;5
Partly or completely crossed over;3. GLADSAXE;0
Partly or completely crossed over;4. RØDOVRE;1
Partly or completely crossed over;5. HVIDOVRE;0
Partly or completely crossed over;6. BRØNDBY;4
Partly or completely crossed over;7. TAASTRUP;5
Partly or completely crossed over;8. BALLERUP;0
Partly or completely crossed over;NORDSJÆLLANDS STORKREDS;14
Partly or completely crossed over;1. HELSINGØR;5
Partly or completely crossed over;2. FREDENSBORG;2
Partly or completely crossed over;3. HILLERØD;4
Partly or completely crossed over;4. FREDERIKSSUND;3
Partly or completely crossed over;5. EGEDAL;0
Partly or completely crossed over;6. RUDERSDAL;0
Partly or completely crossed over;BORNHOLMS STORKREDS;2
Partly or completely crossed over;1. RØNNE;1
Partly or completely crossed over;2. AAKIRKEBY;1
Partly or completely crossed over;SJÆLLAND-SYDDANMARK;123
Partly or completely crossed over;SJÆLLANDS STORKREDS;54
Partly or completely crossed over;1. LOLLAND;4
Partly or completely crossed over;2. GULDBORGSUND;7
Partly or completely crossed over;3. VORDINGBORG;2
Partly or completely crossed over;4. NÆSTVED;3
Partly or completely crossed over;5. FAXE;0
Partly or completely crossed over;6. KØGE;0
Partly or completely crossed over;7. GREVE;2
Partly or completely crossed over;8. ROSKILDE;22
Partly or completely crossed over;9. HOLBÆK;3
Partly or completely crossed over;10. KALUNDBORG;11
Partly or completely crossed over;11. RINGSTED;0
Partly or completely crossed over;12. SLAGELSE;0
Partly or completely crossed over;FYNS STORKREDS;28
Partly or completely crossed over;1. ODENSE ØST;7
Partly or completely crossed over;2. ODENSE VEST;2
Partly or completely crossed over;3. ODENSE SYD;0
Partly or completely crossed over;4. ASSENS;1
Partly or completely crossed over;5. MIDDELFART;7
Partly or completely crossed over;6. NYBORG;10
Partly or completely crossed over;7. SVENDBORG;0
Partly or completely crossed over;8. FAABORG;1
Partly or completely crossed over;SYDJYLLANDS STORKREDS;41
Partly or completely crossed over;1. SØNDERBORG;7
Partly or completely crossed over;2. AABENRAA;0
Partly or completely crossed over;3. TØNDER;7
Partly or completely crossed over;4. ESBJERG BY;5
Partly or completely crossed over;5. ESBJERG OMEGN;0
Partly or completely crossed over;6. VARDE;0
Partly or completely crossed over;7. VEJEN;3
Partly or completely crossed over;8. VEJLE NORD;1
Partly or completely crossed over;9. VEJLE SYD;1
Partly or completely crossed over;10. FREDERICIA;8
Partly or completely crossed over;11. KOLDING NORD;1
Partly or completely crossed over;12. KOLDING SYD;8
Partly or completely crossed over;13. HADERSLEV;0
Partly or completely crossed over;MIDTJYLLAND-NORDJYLLAND;81
Partly or completely crossed over;ØSTJYLLANDS STORKREDS;25
Partly or completely crossed over;1. ÅRHUS SYD;2
Partly or completely crossed over;2. ÅRHUS VEST;0
Partly or completely crossed over;3. ÅRHUS NORD;3
Partly or completely crossed over;4. ÅRHUS ØST;5
Partly or completely crossed over;5. DJURS;2
Partly or completely crossed over;6. RANDERS NORD;5
Partly or completely crossed over;7. RANDERS SYD;3
Partly or completely crossed over;8. FAVRSKOV;1
Partly or completely crossed over;9. SKANDERBORG;3
Partly or completely crossed over;10. HORSENS;0
Partly or completely crossed over;11. HEDENSTED;1
Partly or completely crossed over;VESTJYLLANDS STORKREDS;22
Partly or completely crossed over;9. HERNING NORD;3
Partly or completely crossed over;10. HOLSTEBRO;0
Partly or completely crossed over;11. RINGKØBING;3
Partly or completely crossed over;1. STRUER;0
Partly or completely crossed over;2. SKIVE;2
Partly or completely crossed over;3. VIBORG VEST;6
Partly or completely crossed over;4. VIBORG ØST;5
Partly or completely crossed over;5. SILKEBORG NORD;0
Partly or completely crossed over;6. SILKEBORG SYD;0
Partly or completely crossed over;7. IKAST;1
Partly or completely crossed over;8. HERNING SYD;2
Partly or completely crossed over;NORDJYLLANDS STORKREDS;34
Partly or completely crossed over;1. FREDERIKSHAVN;4
Partly or completely crossed over;2. HJØRRING;6
Partly or completely crossed over;3. BRØNDERSLEV;16
Partly or completely crossed over;4. THISTED;1
Partly or completely crossed over;5. HIMMERLAND;1
Partly or completely crossed over;6. MARIAGERFJORD;4
Partly or completely crossed over;7. AALBORG ØST;2
Partly or completely crossed over;8. AALBORG VEST;0
Partly or completely crossed over;9. AALBORG NORD;0
Crosses placed next to more than one party;All DENMARK;1274
Crosses placed next to more than one party;HOVEDSTADEN;351
Crosses placed next to more than one party;KØBENHAVNS STORKREDS;166
Crosses placed next to more than one party;1. ØSTERBRO;12
Crosses placed next to more than one party;2. SUNDBYVESTER;20
Crosses placed next to more than one party;3. INDRE BY;13
Crosses placed next to more than one party;4. SUNDBYØSTER;12
Crosses placed next to more than one party;5. NØRREBRO;22
Crosses placed next to more than one party;6. BISPEBJERG;22
Crosses placed next to more than one party;7. BRØNSHØJ;18
Crosses placed next to more than one party;8. VALBY;20
Crosses placed next to more than one party;9. VESTERBRO;11
Crosses placed next to more than one party;10. FALKONER;7
Crosses placed next to more than one party;11. SLOTS;4
Crosses placed next to more than one party;12. TÅRNBY;5
Crosses placed next to more than one party;KØBENHAVNS OMEGNS STORKREDS;116
Crosses placed next to more than one party;1. GENTOFTE;9
Crosses placed next to more than one party;2. LYNGBY;8
Crosses placed next to more than one party;3. GLADSAXE;10
Crosses placed next to more than one party;4. RØDOVRE;32
Crosses placed next to more than one party;5. HVIDOVRE;14
Crosses placed next to more than one party;6. BRØNDBY;20
Crosses placed next to more than one party;7. TAASTRUP;10
Crosses placed next to more than one party;8. BALLERUP;13
Crosses placed next to more than one party;NORDSJÆLLANDS STORKREDS;63
Crosses placed next to more than one party;1. HELSINGØR;2
Crosses placed next to more than one party;2. FREDENSBORG;8
Crosses placed next to more than one party;3. HILLERØD;15
Crosses placed next to more than one party;4. FREDERIKSSUND;11
Crosses placed next to more than one party;5. EGEDAL;21
Crosses placed next to more than one party;6. RUDERSDAL;6
Crosses placed next to more than one party;BORNHOLMS STORKREDS;6
Crosses placed next to more than one party;1. RØNNE;2
Crosses placed next to more than one party;2. AAKIRKEBY;4
Crosses placed next to more than one party;SJÆLLAND-SYDDANMARK;535
Crosses placed next to more than one party;SJÆLLANDS STORKREDS;214
Crosses placed next to more than one party;1. LOLLAND;10
Crosses placed next to more than one party;2. GULDBORGSUND;18
Crosses placed next to more than one party;3. VORDINGBORG;13
Crosses placed next to more than one party;4. NÆSTVED;22
Crosses placed next to more than one party;5. FAXE;21
Crosses placed next to more than one party;6. KØGE;10
Crosses placed next to more than one party;7. GREVE;17
Crosses placed next to more than one party;8. ROSKILDE;19
Crosses placed next to more than one party;9. HOLBÆK;15
Crosses placed next to more than one party;10. KALUNDBORG;18
Crosses placed next to more than one party;11. RINGSTED;27
Crosses placed next to more than one party;12. SLAGELSE;24
Crosses placed next to more than one party;FYNS STORKREDS;118
Crosses placed next to more than one party;1. ODENSE ØST;22
Crosses placed next to more than one party;2. ODENSE VEST;13
Crosses placed next to more than one party;3. ODENSE SYD;13
Crosses placed next to more than one party;4. ASSENS;13
Crosses placed next to more than one party;5. MIDDELFART;19
Crosses placed next to more than one party;6. NYBORG;21
Crosses placed next to more than one party;7. SVENDBORG;13
Crosses placed next to more than one party;8. FAABORG;4
Crosses placed next to more than one party;SYDJYLLANDS STORKREDS;203
Crosses placed next to more than one party;1. SØNDERBORG;22
Crosses placed next to more than one party;2. AABENRAA;25
Crosses placed next to more than one party;3. TØNDER;11
Crosses placed next to more than one party;4. ESBJERG BY;17
Crosses placed next to more than one party;5. ESBJERG OMEGN;16
Crosses placed next to more than one party;6. VARDE;16
Crosses placed next to more than one party;7. VEJEN;13
Crosses placed next to more than one party;8. VEJLE NORD;9
Crosses placed next to more than one party;9. VEJLE SYD;21
Crosses placed next to more than one party;10. FREDERICIA;20
Crosses placed next to more than one party;11. KOLDING NORD;12
Crosses placed next to more than one party;12. KOLDING SYD;9
Crosses placed next to more than one party;13. HADERSLEV;12
Crosses placed next to more than one party;MIDTJYLLAND-NORDJYLLAND;388
Crosses placed next to more than one party;ØSTJYLLANDS STORKREDS;143
Crosses placed next to more than one party;1. ÅRHUS SYD;13
Crosses placed next to more than one party;2. ÅRHUS VEST;14
Crosses placed next to more than one party;3. ÅRHUS NORD;16
Crosses placed next to more than one party;4. ÅRHUS ØST;11
Crosses placed next to more than one party;5. DJURS;21
Crosses placed next to more than one party;6. RANDERS NORD;5
Crosses placed next to more than one party;7. RANDERS SYD;11
Crosses placed next to more than one party;8. FAVRSKOV;5
Crosses placed next to more than one party;9. SKANDERBORG;9
Crosses placed next to more than one party;10. HORSENS;23
Crosses placed next to more than one party;11. HEDENSTED;15
Crosses placed next to more than one party;VESTJYLLANDS STORKREDS;111
Crosses placed next to more than one party;9. HERNING NORD;10
Crosses placed next to more than one party;10. HOLSTEBRO;21
Crosses placed next to more than one party;11. RINGKØBING;7
Crosses placed next to more than one party;1. STRUER;12
Crosses placed next to more than one party;2. SKIVE;5
Crosses placed next to more than one party;3. VIBORG VEST;13
Crosses placed next to more than one party;4. VIBORG ØST;12
Crosses placed next to more than one party;5. SILKEBORG NORD;5
Crosses placed next to more than one party;6. SILKEBORG SYD;9
Crosses placed next to more than one party;7. IKAST;6
Crosses placed next to more than one party;8. HERNING SYD;11
Crosses placed next to more than one party;NORDJYLLANDS STORKREDS;134
Crosses placed next to more than one party;1. FREDERIKSHAVN;17
Crosses placed next to more than one party;2. HJØRRING;17
Crosses placed next to more than one party;3. BRØNDERSLEV;11
Crosses placed next to more than one party;4. THISTED;17
Crosses placed next to more than one party;5. HIMMERLAND;18
Crosses placed next to more than one party;6. MARIAGERFJORD;13
Crosses placed next to more than one party;7. AALBORG ØST;25
Crosses placed next to more than one party;8. AALBORG VEST;8
Crosses placed next to more than one party;9. AALBORG NORD;8
Cross stretching over more parties;All DENMARK;214
Cross stretching over more parties;HOVEDSTADEN;61
Cross stretching over more parties;KØBENHAVNS STORKREDS;20
Cross stretching over more parties;1. ØSTERBRO;1
Cross stretching over more parties;2. SUNDBYVESTER;2
Cross stretching over more parties;3. INDRE BY;1
Cross stretching over more parties;4. SUNDBYØSTER;4
Cross stretching over more parties;5. NØRREBRO;1
Cross stretching over more parties;6. BISPEBJERG;2
Cross stretching over more parties;7. BRØNSHØJ;2
Cross stretching over more parties;8. VALBY;0
Cross stretching over more parties;9. VESTERBRO;2
Cross stretching over more parties;10. FALKONER;0
Cross stretching over more parties;11. SLOTS;2
Cross stretching over more parties;12. TÅRNBY;3
Cross stretching over more parties;KØBENHAVNS OMEGNS STORKREDS;16
Cross stretching over more parties;1. GENTOFTE;1
Cross stretching over more parties;2. LYNGBY;1
Cross stretching over more parties;3. GLADSAXE;1
Cross stretching over more parties;4. RØDOVRE;3
Cross stretching over more parties;5. HVIDOVRE;3
Cross stretching over more parties;6. BRØNDBY;2
Cross stretching over more parties;7. TAASTRUP;3
Cross stretching over more parties;8. BALLERUP;2
Cross stretching over more parties;NORDSJÆLLANDS STORKREDS;18
Cross stretching over more parties;1. HELSINGØR;5
Cross stretching over more parties;2. FREDENSBORG;3
Cross stretching over more parties;3. HILLERØD;0
Cross stretching over more parties;4. FREDERIKSSUND;7
Cross stretching over more parties;5. EGEDAL;1
Cross stretching over more parties;6. RUDERSDAL;2
Cross stretching over more parties;BORNHOLMS STORKREDS;7
Cross stretching over more parties;1. RØNNE;5
Cross stretching over more parties;2. AAKIRKEBY;2
Cross stretching over more parties;SJÆLLAND-SYDDANMARK;103
Cross stretching over more parties;SJÆLLANDS STORKREDS;43
Cross stretching over more parties;1. LOLLAND;0
Cross stretching over more parties;2. GULDBORGSUND;5
Cross stretching over more parties;3. VORDINGBORG;3
Cross stretching over more parties;4. NÆSTVED;3
Cross stretching over more parties;5. FAXE;9
Cross stretching over more parties;6. KØGE;4
Cross stretching over more parties;7. GREVE;4
Cross stretching over more parties;8. ROSKILDE;6
Cross stretching over more parties;9. HOLBÆK;1
Cross stretching over more parties;10. KALUNDBORG;4
Cross stretching over more parties;11. RINGSTED;1
Cross stretching over more parties;12. SLAGELSE;3
Cross stretching over more parties;FYNS STORKREDS;25
Cross stretching over more parties;1. ODENSE ØST;6
Cross stretching over more parties;2. ODENSE VEST;2
Cross stretching over more parties;3. ODENSE SYD;4
Cross stretching over more parties;4. ASSENS;2
Cross stretching over more parties;5. MIDDELFART;5
Cross stretching over more parties;6. NYBORG;1
Cross stretching over more parties;7. SVENDBORG;0
Cross stretching over more parties;8. FAABORG;5
Cross stretching over more parties;SYDJYLLANDS STORKREDS;35
Cross stretching over more parties;1. SØNDERBORG;1
Cross stretching over more parties;2. AABENRAA;1
Cross stretching over more parties;3. TØNDER;4
Cross stretching over more parties;4. ESBJERG BY;1
Cross stretching over more parties;5. ESBJERG OMEGN;1
Cross stretching over more parties;6. VARDE;2
Cross stretching over more parties;7. VEJEN;7
Cross stretching over more parties;8. VEJLE NORD;2
Cross stretching over more parties;9. VEJLE SYD;2
Cross stretching over more parties;10. FREDERICIA;2
Cross stretching over more parties;11. KOLDING NORD;2
Cross stretching over more parties;12. KOLDING SYD;1
Cross stretching over more parties;13. HADERSLEV;9
Cross stretching over more parties;MIDTJYLLAND-NORDJYLLAND;50
Cross stretching over more parties;ØSTJYLLANDS STORKREDS;25
Cross stretching over more parties;1. ÅRHUS SYD;0
Cross stretching over more parties;2. ÅRHUS VEST;1
Cross stretching over more parties;3. ÅRHUS NORD;3
Cross stretching over more parties;4. ÅRHUS ØST;1
Cross stretching over more parties;5. DJURS;1
Cross stretching over more parties;6. RANDERS NORD;1
Cross stretching over more parties;7. RANDERS SYD;1
Cross stretching over more parties;8. FAVRSKOV;3
Cross stretching over more parties;9. SKANDERBORG;2
Cross stretching over more parties;10. HORSENS;10
Cross stretching over more parties;11. HEDENSTED;2
Cross stretching over more parties;VESTJYLLANDS STORKREDS;7
Cross stretching over more parties;9. HERNING NORD;0
Cross stretching over more parties;10. HOLSTEBRO;0
Cross stretching over more parties;11. RINGKØBING;3
Cross stretching over more parties;1. STRUER;1
Cross stretching over more parties;2. SKIVE;0
Cross stretching over more parties;3. VIBORG VEST;1
Cross stretching over more parties;4. VIBORG ØST;0
Cross stretching over more parties;5. SILKEBORG NORD;0
Cross stretching over more parties;6. SILKEBORG SYD;0
Cross stretching over more parties;7. IKAST;2
Cross stretching over more parties;8. HERNING SYD;0
Cross stretching over more parties;NORDJYLLANDS STORKREDS;18
Cross stretching over more parties;1. FREDERIKSHAVN;2
Cross stretching over more parties;2. HJØRRING;2
Cross stretching over more parties;3. BRØNDERSLEV;3
Cross stretching over more parties;4. THISTED;1
Cross stretching over more parties;5. HIMMERLAND;2
Cross stretching over more parties;6. MARIAGERFJORD;0
Cross stretching over more parties;7. AALBORG ØST;4
Cross stretching over more parties;8. AALBORG VEST;1
Cross stretching over more parties;9. AALBORG NORD;3
Cross placed outside the words Uden for partierne;All DENMARK;21
Cross placed outside the words Uden for partierne;HOVEDSTADEN;7
Cross placed outside the words Uden for partierne;KØBENHAVNS STORKREDS;4
Cross placed outside the words Uden for partierne;1. ØSTERBRO;0
Cross placed outside the words Uden for partierne;2. SUNDBYVESTER;0
Cross placed outside the words Uden for partierne;3. INDRE BY;0
Cross placed outside the words Uden for partierne;4. SUNDBYØSTER;1
Cross placed outside the words Uden for partierne;5. NØRREBRO;1
Cross placed outside the words Uden for partierne;6. BISPEBJERG;0
Cross placed outside the words Uden for partierne;7. BRØNSHØJ;1
Cross placed outside the words Uden for partierne;8. VALBY;0
Cross placed outside the words Uden for partierne;9. VESTERBRO;0
Cross placed outside the words Uden for partierne;10. FALKONER;1
Cross placed outside the words Uden for partierne;11. SLOTS;0
Cross placed outside the words Uden for partierne;12. TÅRNBY;0
Cross placed outside the words Uden for partierne;KØBENHAVNS OMEGNS STORKREDS;1
Cross placed outside the words Uden for partierne;1. GENTOFTE;0
Cross placed outside the words Uden for partierne;2. LYNGBY;0
Cross placed outside the words Uden for partierne;3. GLADSAXE;0
