Political party;Region;Number of people
A. The Social Democratic Party;7. BRØNSHØJ;9577
A. The Social Democratic Party;8. VALBY;6491
A. The Social Democratic Party;9. VESTERBRO;5683
A. The Social Democratic Party;10. FALKONER;4824
A. The Social Democratic Party;11. SLOTS;5361
A. The Social Democratic Party;12. TÅRNBY;9647
A. The Social Democratic Party;KØBENHAVNS OMEGNS STORKREDS;79845
A. The Social Democratic Party;1. GENTOFTE;5163
A. The Social Democratic Party;2. LYNGBY;6131
A. The Social Democratic Party;3. GLADSAXE;9977
A. The Social Democratic Party;4. RØDOVRE;12547
A. The Social Democratic Party;5. HVIDOVRE;8886
A. The Social Democratic Party;6. BRØNDBY;11900
A. The Social Democratic Party;7. TAASTRUP;11712
A. The Social Democratic Party;8. BALLERUP;13529
A. The Social Democratic Party;NORDSJÆLLANDS STORKREDS;61801
A. The Social Democratic Party;1. HELSINGØR;9520
A. The Social Democratic Party;2. FREDENSBORG;6671
A. The Social Democratic Party;3. HILLERØD;13131
A. The Social Democratic Party;4. FREDERIKSSUND;13198
A. The Social Democratic Party;5. EGEDAL;11701
A. The Social Democratic Party;6. RUDERSDAL;7580
A. The Social Democratic Party;BORNHOLMS STORKREDS;8593
A. The Social Democratic Party;1. RØNNE;4628
A. The Social Democratic Party;2. AAKIRKEBY;3965
A. The Social Democratic Party;SJÆLLAND-SYDDANMARK;355035
A. The Social Democratic Party;SJÆLLANDS STORKREDS;147057
A. The Social Democratic Party;1. LOLLAND;10000
A. The Social Democratic Party;2. GULDBORGSUND;12995
A. The Social Democratic Party;3. VORDINGBORG;8776
A. The Social Democratic Party;4. NÆSTVED;17409
A. The Social Democratic Party;5. FAXE;9793
A. The Social Democratic Party;6. KØGE;12661
A. The Social Democratic Party;7. GREVE;10606
A. The Social Democratic Party;8. ROSKILDE;13225
A. The Social Democratic Party;9. HOLBÆK;12772
A. The Social Democratic Party;10. KALUNDBORG;15072
A. The Social Democratic Party;11. RINGSTED;10270
A. The Social Democratic Party;12. SLAGELSE;13478
A. The Social Democratic Party;FYNS STORKREDS;94337
A. The Social Democratic Party;1. ODENSE ØST;12015
A. The Social Democratic Party;2. ODENSE VEST;11677
A. The Social Democratic Party;3. ODENSE SYD;11618
A. The Social Democratic Party;4. ASSENS;8152
A. The Social Democratic Party;5. MIDDELFART;13645
A. The Social Democratic Party;6. NYBORG;12386
A. The Social Democratic Party;7. SVENDBORG;14147
A. The Social Democratic Party;8. FAABORG;10697
A. The Social Democratic Party;SYDJYLLANDS STORKREDS;113641
A. The Social Democratic Party;1. SØNDERBORG;13470
A. The Social Democratic Party;2. AABENRAA;8858
A. The Social Democratic Party;3. TØNDER;5413
A. The Social Democratic Party;4. ESBJERG BY;11785
A. The Social Democratic Party;5. ESBJERG OMEGN;8913
A. The Social Democratic Party;6. VARDE;6813
A. The Social Democratic Party;7. VEJEN;10356
A. The Social Democratic Party;8. VEJLE NORD;7263
A. The Social Democratic Party;9. VEJLE SYD;9002
A. The Social Democratic Party;10. FREDERICIA;9432
A. The Social Democratic Party;11. KOLDING NORD;5810
A. The Social Democratic Party;12. KOLDING SYD;7169
A. The Social Democratic Party;13. HADERSLEV;9357
A. The Social Democratic Party;MIDTJYLLAND-NORDJYLLAND;331729
A. The Social Democratic Party;ØSTJYLLANDS STORKREDS;128108
A. The Social Democratic Party;1. ÅRHUS SYD;11975
A. The Social Democratic Party;2. ÅRHUS VEST;13059
A. The Social Democratic Party;3. ÅRHUS NORD;12408
A. The Social Democratic Party;4. ÅRHUS ØST;11725
A. The Social Democratic Party;5. DJURS;14886
A. The Social Democratic Party;6. RANDERS NORD;9918
A. The Social Democratic Party;7. RANDERS SYD;9499
A. The Social Democratic Party;8. FAVRSKOV;8400
A. The Social Democratic Party;9. SKANDERBORG;14720
A. The Social Democratic Party;10. HORSENS;14601
A. The Social Democratic Party;11. HEDENSTED;6917
A. The Social Democratic Party;VESTJYLLANDS STORKREDS;79550
A. The Social Democratic Party;9. HERNING NORD;5937
A. The Social Democratic Party;10. HOLSTEBRO;10196
A. The Social Democratic Party;11. RINGKØBING;6668
A. The Social Democratic Party;1. STRUER;7018
A. The Social Democratic Party;2. SKIVE;8879
A. The Social Democratic Party;3. VIBORG VEST;8256
A. The Social Democratic Party;4. VIBORG ØST;6727
A. The Social Democratic Party;5. SILKEBORG NORD;6783
A. The Social Democratic Party;6. SILKEBORG SYD;7882
A. The Social Democratic Party;7. IKAST;5428
A. The Social Democratic Party;8. HERNING SYD;5776
A. The Social Democratic Party;NORDJYLLANDS STORKREDS;124071
A. The Social Democratic Party;1. FREDERIKSHAVN;14621
A. The Social Democratic Party;2. HJØRRING;13147
A. The Social Democratic Party;3. BRØNDERSLEV;16301
A. The Social Democratic Party;4. THISTED;14210
A. The Social Democratic Party;5. HIMMERLAND;11986
A. The Social Democratic Party;6. MARIAGERFJORD;8795
A. The Social Democratic Party;7. AALBORG ØST;17918
A. The Social Democratic Party;8. AALBORG VEST;12867
A. The Social Democratic Party;9. AALBORG NORD;14226
B. The Danish Social-Liberal Party;All DENMARK;304714
B. The Danish Social-Liberal Party;HOVEDSTADEN;141038
B. The Danish Social-Liberal Party;KØBENHAVNS STORKREDS;74135
B. The Danish Social-Liberal Party;1. ØSTERBRO;8756
B. The Danish Social-Liberal Party;2. SUNDBYVESTER;6925
B. The Danish Social-Liberal Party;3. INDRE BY;6629
B. The Danish Social-Liberal Party;4. SUNDBYØSTER;4939
B. The Danish Social-Liberal Party;5. NØRREBRO;9076
B. The Danish Social-Liberal Party;6. BISPEBJERG;4503
B. The Danish Social-Liberal Party;7. BRØNSHØJ;6989
B. The Danish Social-Liberal Party;8. VALBY;4932
B. The Danish Social-Liberal Party;9. VESTERBRO;7145
B. The Danish Social-Liberal Party;10. FALKONER;6496
B. The Danish Social-Liberal Party;11. SLOTS;5084
B. The Danish Social-Liberal Party;12. TÅRNBY;2661
B. The Danish Social-Liberal Party;KØBENHAVNS OMEGNS STORKREDS;33638
B. The Danish Social-Liberal Party;1. GENTOFTE;6586
B. The Danish Social-Liberal Party;2. LYNGBY;5235
B. The Danish Social-Liberal Party;3. GLADSAXE;4869
B. The Danish Social-Liberal Party;4. RØDOVRE;3330
B. The Danish Social-Liberal Party;5. HVIDOVRE;2666
B. The Danish Social-Liberal Party;6. BRØNDBY;4002
B. The Danish Social-Liberal Party;7. TAASTRUP;3785
B. The Danish Social-Liberal Party;8. BALLERUP;3165
B. The Danish Social-Liberal Party;NORDSJÆLLANDS STORKREDS;32419
B. The Danish Social-Liberal Party;1. HELSINGØR;4219
B. The Danish Social-Liberal Party;2. FREDENSBORG;5168
B. The Danish Social-Liberal Party;3. HILLERØD;5362
B. The Danish Social-Liberal Party;4. FREDERIKSSUND;2954
B. The Danish Social-Liberal Party;5. EGEDAL;6516
B. The Danish Social-Liberal Party;6. RUDERSDAL;8200
B. The Danish Social-Liberal Party;BORNHOLMS STORKREDS;846
B. The Danish Social-Liberal Party;1. RØNNE;409
B. The Danish Social-Liberal Party;2. AAKIRKEBY;437
B. The Danish Social-Liberal Party;SJÆLLAND-SYDDANMARK;78698
B. The Danish Social-Liberal Party;SJÆLLANDS STORKREDS;30354
B. The Danish Social-Liberal Party;1. LOLLAND;632
B. The Danish Social-Liberal Party;2. GULDBORGSUND;1430
B. The Danish Social-Liberal Party;3. VORDINGBORG;1814
B. The Danish Social-Liberal Party;4. NÆSTVED;2411
B. The Danish Social-Liberal Party;5. FAXE;1596
B. The Danish Social-Liberal Party;6. KØGE;3616
B. The Danish Social-Liberal Party;7. GREVE;3123
B. The Danish Social-Liberal Party;8. ROSKILDE;5441
B. The Danish Social-Liberal Party;9. HOLBÆK;2849
B. The Danish Social-Liberal Party;10. KALUNDBORG;2306
B. The Danish Social-Liberal Party;11. RINGSTED;2510
B. The Danish Social-Liberal Party;12. SLAGELSE;2626
B. The Danish Social-Liberal Party;FYNS STORKREDS;22793
B. The Danish Social-Liberal Party;1. ODENSE ØST;5646
B. The Danish Social-Liberal Party;2. ODENSE VEST;2770
B. The Danish Social-Liberal Party;3. ODENSE SYD;4510
B. The Danish Social-Liberal Party;4. ASSENS;1156
B. The Danish Social-Liberal Party;5. MIDDELFART;2248
B. The Danish Social-Liberal Party;6. NYBORG;1713
B. The Danish Social-Liberal Party;7. SVENDBORG;2756
B. The Danish Social-Liberal Party;8. FAABORG;1994
B. The Danish Social-Liberal Party;SYDJYLLANDS STORKREDS;25551
B. The Danish Social-Liberal Party;1. SØNDERBORG;2572
B. The Danish Social-Liberal Party;2. AABENRAA;1655
B. The Danish Social-Liberal Party;3. TØNDER;799
B. The Danish Social-Liberal Party;4. ESBJERG BY;2283
B. The Danish Social-Liberal Party;5. ESBJERG OMEGN;1647
B. The Danish Social-Liberal Party;6. VARDE;1373
B. The Danish Social-Liberal Party;7. VEJEN;1800
B. The Danish Social-Liberal Party;8. VEJLE NORD;2864
B. The Danish Social-Liberal Party;9. VEJLE SYD;2832
B. The Danish Social-Liberal Party;10. FREDERICIA;1785
B. The Danish Social-Liberal Party;11. KOLDING NORD;2354
B. The Danish Social-Liberal Party;12. KOLDING SYD;1927
