"People by unit, time, sex, region and type of income"

" ";" ";" ";" ";"2 Pre-tax Income, total (3+7+22+26+29)";"3 Primary income (4+5+6)"
"Amount of income (DKK 1.000)"
" ";"2019"
" ";" ";"Men and women, total"
" ";" ";" ";"Høje-Taastrup";7173132;5476556
" ";" ";" ";"Ishøj";2842145;2132605
" ";" ";" ";"Lyngby-Taarbæk";11823200;8856315
" ";" ";" ";"Rødovre";5660294;4359024
" ";" ";" ";"Vallensbæk";2603611;2042559
" ";" ";" ";"Province Nordsjælland";89380677;63612538
" ";" ";" ";"Allerød";5093695;3859792
" ";" ";" ";"Egedal";7352393;5870711
" ";" ";" ";"Fredensborg";7512160;5300422
" ";" ";" ";"Frederikssund";7040289;5249004
" ";" ";" ";"Furesø";7980221;5968257
" ";" ";" ";"Gribskov";6537943;4593179
" ";" ";" ";"Halsnæs";4561187;3209401
" ";" ";" ";"Helsingør";10554267;7428060
" ";" ";" ";"Hillerød";8649916;6620688
" ";" ";" ";"Hørsholm";6791695;4606778
" ";" ";" ";"Rudersdal";17306913;10906246
" ";" ";" ";"Province Bornholm";5329006;3395592
" ";" ";" ";"Bornholm";5329006;3395592
" ";" ";" ";"Province Østsjælland";41672038;31596894
" ";" ";" ";"Greve";8160850;6186365
" ";" ";" ";"Køge";9393448;7172139
" ";" ";" ";"Lejre";4740982;3612124
" ";" ";" ";"Roskilde";15128317;11389312
" ";" ";" ";"Solrød";4248440;3236954
" ";" ";" ";"Province Vest- og Sydsjælland";83524830;59013831
" ";" ";" ";"Faxe";5385603;3993942
" ";" ";" ";"Guldborgsund";8051485;5297626
" ";" ";" ";"Holbæk";10617798;7901393
" ";" ";" ";"Kalundborg";7032823;4888858
" ";" ";" ";"Lolland";5381312;3307233
" ";" ";" ";"Næstved";11993441;8807099
" ";" ";" ";"Odsherred";4580630;2948103
" ";" ";" ";"Ringsted";5194434;3978391
" ";" ";" ";"Slagelse";10956221;7827284
" ";" ";" ";"Sorø";4550552;3334906
" ";" ";" ";"Stevns";3553784;2596595
" ";" ";" ";"Vordingborg";6226746;4132400
" ";" ";" ";"Province Fyn";69998050;48895007
" ";" ";" ";"Assens";5803253;4174832
" ";" ";" ";"Faaborg-Midtfyn";7161462;5065479
" ";" ";" ";"Kerteminde";3559867;2443483
" ";" ";" ";"Langeland";1640830;969000
" ";" ";" ";"Middelfart";6427561;4475574
" ";" ";" ";"Nordfyns";4245284;3049271
" ";" ";" ";"Nyborg";4433260;3040560
" ";" ";" ";"Odense";27549551;19562701
" ";" ";" ";"Svendborg";8385692;5637273
" ";" ";" ";"Ærø";791290;476835
" ";" ";" ";"Province Sydjylland";108670732;78874762
" ";" ";" ";"Billund";4131320;3028015
" ";" ";" ";"Esbjerg";17621143;12588285
" ";" ";" ";"Fanø";542669;347252
" ";" ";" ";"Fredericia";7760324;5663165
" ";" ";" ";"Haderslev";7878457;5570618
" ";" ";" ";"Kolding";14314541;10756565
" ";" ";" ";"Sønderborg";10879238;7540396
" ";" ";" ";"Tønder";5183844;3644013
" ";" ";" ";"Varde";7401168;5435394
" ";" ";" ";"Vejen";6288137;4762781
" ";" ";" ";"Vejle";18317915;13704503
" ";" ";" ";"Aabenraa";8351977;5833775
" ";" ";" ";"Province Østjylland";135307215;100467283
" ";" ";" ";"Favrskov";7511807;5904935
" ";" ";" ";"Hedensted";7360613;5583837
" ";" ";" ";"Horsens";13430714;9984583
" ";" ";" ";"Norddjurs";5224853;3673038
" ";" ";" ";"Odder";3464219;2539834
" ";" ";" ";"Randers";13941805;10147661
" ";" ";" ";"Samsø";510435;319506
" ";" ";" ";"Silkeborg";14755604;11080878
" ";" ";" ";"Skanderborg";10261928;8058978
" ";" ";" ";"Syddjurs";6452495;4555499
" ";" ";" ";"Aarhus";52392741;38618534
" ";" ";" ";"Province Vestjylland";64404045;46548750
" ";" ";" ";"Herning";13525507;9949939
" ";" ";" ";"Holstebro";8450230;6214398
" ";" ";" ";"Ikast-Brande";6443276;4506459
" ";" ";" ";"Lemvig";3160486;2237442
" ";" ";" ";"Ringkøbing-Skjern";8622692;6285753
" ";" ";" ";"Skive";6708397;4734861
" ";" ";" ";"Struer";3023149;2107047
" ";" ";" ";"Viborg";14470308;10512852
" ";" ";" ";"Province Nordjylland";85337648;60961652
" ";" ";" ";"Brønderslev";5147272;3743302
" ";" ";" ";"Frederikshavn";8633761;5904353
" ";" ";" ";"Hjørring";9177394;6317198
" ";" ";" ";"Jammerbugt";5357887;3750094
" ";" ";" ";"Læsø";243701;146475
" ";" ";" ";"Mariagerfjord";6227734;4439095
" ";" ";" ";"Morsø";2864711;1930916
" ";" ";" ";"Rebild";4761879;3626605
" ";" ";" ";"Thisted";6336117;4506407
" ";" ";" ";"Vesthimmerlands";5203238;3747804
" ";" ";" ";"Aalborg";31383956;22849402
" ";" ";"Women"
" ";" ";" ";"All Denmark";719335215;461983260
" ";" ";" ";"Province Byen København";105114958;76418215
" ";" ";" ";"Copenhagen";81278258;59945403
" ";" ";" ";"Frederiksberg";16143147;11223393
" ";" ";" ";"Dragør";2211294;1477147
" ";" ";" ";"Tårnby";5482259;3772272
" ";" ";" ";"Province Københavns omegn";76073378;49618954
" ";" ";" ";"Albertslund";3152501;1968138
" ";" ";" ";"Ballerup";6304002;4066204
" ";" ";" ";"Brøndby";3993757;2429889
" ";" ";" ";"Gentofte";15416928;9550444
" ";" ";" ";"Gladsaxe";9069127;6323654
" ";" ";" ";"Glostrup";2911053;1940015
" ";" ";" ";"Herlev";3702598;2446659
" ";" ";" ";"Hvidovre";6600903;4472474
" ";" ";" ";"Høje-Taastrup";5850580;3864661
" ";" ";" ";"Ishøj";2498463;1585288
" ";" ";" ";"Lyngby-Taarbæk";9363319;6082714
" ";" ";" ";"Rødovre";5154868;3450613
" ";" ";" ";"Vallensbæk";2055280;1438202
" ";" ";" ";"Province Nordsjælland";68572822;44242295
" ";" ";" ";"Allerød";3882278;2794632
" ";" ";" ";"Egedal";5956223;4314801
" ";" ";" ";"Fredensborg";6182805;3742727
" ";" ";" ";"Frederikssund";5911675;3855325
" ";" ";" ";"Furesø";6399324;4340360
" ";" ";" ";"Gribskov";5300548;3324784
" ";" ";" ";"Halsnæs";3907766;2396777
" ";" ";" ";"Helsingør";8635643;5354382
" ";" ";" ";"Hillerød";7047566;4853945
" ";" ";" ";"Hørsholm";4537582;2743573
" ";" ";" ";"Rudersdal";10811414;6520988
" ";" ";" ";"Province Bornholm";4563283;2494271
" ";" ";" ";"Bornholm";4563283;2494271
" ";" ";" ";"Province Østsjælland";33446043;22495850
" ";" ";" ";"Greve";6641828;4472403
" ";" ";" ";"Køge";7656428;5057830
" ";" ";" ";"Lejre";3639985;2470760
" ";" ";" ";"Roskilde";12130693;8284456
" ";" ";" ";"Solrød";3377108;2210400
" ";" ";" ";"Province Vest- og Sydsjælland";69181129;41637697
" ";" ";" ";"Faxe";4267625;2688689
" ";" ";" ";"Guldborgsund";6975609;3897317
" ";" ";" ";"Holbæk";8790527;5647562
" ";" ";" ";"Kalundborg";5732401;3415902
" ";" ";" ";"Lolland";4458876;2238298
" ";" ";" ";"Næstved";9957322;6194934
" ";" ";" ";"Odsherred";3847506;2080914
" ";" ";" ";"Ringsted";4192025;2786250
" ";" ";" ";"Slagelse";9189037;5570777
" ";" ";" ";"Sorø";3635962;2308198
" ";" ";" ";"Stevns";2764732;1751014
" ";" ";" ";"Vordingborg";5369506;3057841
" ";" ";" ";"Province Fyn";57507499;34546450
" ";" ";" ";"Assens";4668902;2777051
" ";" ";" ";"Faaborg-Midtfyn";5858306;3473175
" ";" ";" ";"Kerteminde";2805339;1635683
" ";" ";" ";"Langeland";1371817;679477
" ";" ";" ";"Middelfart";4763338;2990579
" ";" ";" ";"Nordfyns";3263734;1979840
" ";" ";" ";"Nyborg";3747570;2151343
" ";" ";" ";"Odense";23526216;14508427
" ";" ";" ";"Svendborg";6844575;4030757
" ";" ";" ";"Ærø";657702;320117
" ";" ";" ";"Province Sydjylland";83462344;51759453
" ";" ";" ";"Billund";3014858;1911122
" ";" ";" ";"Esbjerg";13275360;8290556
" ";" ";" ";"Fanø";439895;247315
" ";" ";" ";"Fredericia";5922584;3652173
" ";" ";" ";"Haderslev";6403916;3765434
" ";" ";" ";"Kolding";10958013;7146540
" ";" ";" ";"Sønderborg";8547526;5062268
" ";" ";" ";"Tønder";4115684;2351077
" ";" ";" ";"Varde";5518822;3401650
" ";" ";" ";"Vejen";4716876;2897886
" ";" ";" ";"Vejle";13981497;9142819
" ";" ";" ";"Aabenraa";6567313;3890613
" ";" ";" ";"Province Østjylland";106730969;68307894
" ";" ";" ";"Favrskov";5658480;3870826
" ";" ";" ";"Hedensted";5293652;3444088
" ";" ";" ";"Horsens";10425481;6551976
" ";" ";" ";"Norddjurs";4077577;2351723
" ";" ";" ";"Odder";2751203;1704281
" ";" ";" ";"Randers";11093283;6761753
" ";" ";" ";"Samsø";434190;226538
" ";" ";" ";"Silkeborg";11263601;7372887
" ";" ";" ";"Skanderborg";7863851;5448519
" ";" ";" ";"Syddjurs";5138383;3110440
" ";" ";" ";"Aarhus";42731267;27464863
" ";" ";" ";"Province Vestjylland";47808287;29437172
" ";" ";" ";"Herning";9931040;6236323
" ";" ";" ";"Holstebro";6616630;4165972
" ";" ";" ";"Ikast-Brande";4447348;2773462
" ";" ";" ";"Lemvig";2153477;1254358
" ";" ";" ";"Ringkøbing-Skjern";6137862;3712233
" ";" ";" ";"Skive";5062026;2991146
" ";" ";" ";"Struer";2312134;1320131
" ";" ";" ";"Viborg";11147771;6983548
" ";" ";" ";"Province Nordjylland";66874503;41025011
" ";" ";" ";"Brønderslev";3992288;2475366
" ";" ";" ";"Frederikshavn";6763767;3786680
" ";" ";" ";"Hjørring";7403829;4462437
" ";" ";" ";"Jammerbugt";4261381;2573223
