Region;Prøvetagningsdato;Køn;Bekræftede tilfælde;Døde;Indlæggelser;Kummuleret antal døde;Kummuleret antal bekræftede tilfælde;Kummuleret antal indlæggelser
Hovedstaden;26-8-2020;M;16;0;0;624;16461;2792
Midtjylland;26-8-2020;M;11;0;0;624;16472;2792
Nordjylland;26-8-2020;M;3;0;1;624;16475;2793
Sjælland;26-8-2020;M;5;0;1;624;16480;2794
Syddanmark;26-8-2020;M;6;0;0;624;16486;2794
Hovedstaden;27-8-2020;F;7;0;0;624;16493;2794
Midtjylland;27-8-2020;F;10;0;0;624;16503;2794
Nordjylland;27-8-2020;F;1;0;0;624;16504;2794
Sjælland;27-8-2020;F;2;0;0;624;16506;2794
Syddanmark;27-8-2020;F;6;0;1;624;16512;2795
Hovedstaden;27-8-2020;M;16;0;1;624;16528;2796
Midtjylland;27-8-2020;M;10;0;0;624;16538;2796
Nordjylland;27-8-2020;M;3;0;0;624;16541;2796
Sjælland;27-8-2020;M;5;0;0;624;16546;2796
Syddanmark;27-8-2020;M;9;0;0;624;16555;2796
Hovedstaden;28-8-2020;F;18;0;0;624;16573;2796
Midtjylland;28-8-2020;F;13;0;1;624;16586;2797
Nordjylland;28-8-2020;F;4;0;1;624;16590;2798
Sjælland;28-8-2020;F;4;0;1;624;16594;2799
Syddanmark;28-8-2020;F;7;0;0;624;16601;2799
Hovedstaden;28-8-2020;M;24;0;1;624;16625;2800
Midtjylland;28-8-2020;M;12;0;0;624;16637;2800
Nordjylland;28-8-2020;M;5;0;1;624;16642;2801
Sjælland;28-8-2020;M;5;0;0;624;16647;2801
Syddanmark;28-8-2020;M;15;0;0;624;16662;2801
Hovedstaden;29-8-2020;F;15;0;1;624;16677;2802
Midtjylland;29-8-2020;F;6;0;0;624;16683;2802
Nordjylland;29-8-2020;F;5;0;0;624;16688;2802
Sjælland;29-8-2020;F;1;0;0;624;16689;2802
Syddanmark;29-8-2020;F;10;0;0;624;16699;2802
Hovedstaden;29-8-2020;M;22;0;2;624;16721;2804
Midtjylland;29-8-2020;M;12;0;1;624;16733;2805
Nordjylland;29-8-2020;M;6;0;0;624;16739;2805
Sjælland;29-8-2020;M;1;0;0;624;16740;2805
Syddanmark;29-8-2020;M;4;0;0;624;16744;2805
Hovedstaden;30-8-2020;F;23;0;4;624;16767;2809
Midtjylland;30-8-2020;F;11;0;1;624;16778;2810
Nordjylland;30-8-2020;F;3;0;0;624;16781;2810
Sjælland;30-8-2020;F;1;0;0;624;16782;2810
Syddanmark;30-8-2020;F;11;0;1;624;16793;2811
Hovedstaden;30-8-2020;M;27;0;1;624;16820;2812
Midtjylland;30-8-2020;M;12;0;0;624;16832;2812
Nordjylland;30-8-2020;M;3;0;0;624;16835;2812
Sjælland;30-8-2020;M;4;0;0;624;16839;2812
Syddanmark;30-8-2020;M;8;0;0;624;16847;2812
Hovedstaden;31-8-2020;F;30;0;0;624;16877;2812
Midtjylland;31-8-2020;F;10;0;0;624;16887;2812
Sjælland;31-8-2020;F;2;0;0;624;16889;2812
Syddanmark;31-8-2020;F;14;0;2;624;16903;2814
Hovedstaden;31-8-2020;M;36;0;0;624;16939;2814
Midtjylland;31-8-2020;M;8;0;1;624;16947;2815
Nordjylland;31-8-2020;M;3;0;0;624;16950;2815
Sjælland;31-8-2020;M;7;0;0;624;16957;2815
Syddanmark;31-8-2020;M;8;0;1;624;16965;2816
Hovedstaden;1-9-2020;F;39;0;1;624;17004;2817
Midtjylland;1-9-2020;F;19;0;0;624;17023;2817
Nordjylland;1-9-2020;F;3;0;0;624;17026;2817
Sjælland;1-9-2020;F;6;0;0;624;17032;2817
Syddanmark;1-9-2020;F;26;0;1;624;17058;2818
Hovedstaden;1-9-2020;M;52;0;1;624;17110;2819
Midtjylland;1-9-2020;M;14;0;0;624;17124;2819
Nordjylland;1-9-2020;M;4;0;0;624;17128;2819
Sjælland;1-9-2020;M;10;0;0;624;17138;2819
Syddanmark;1-9-2020;M;25;0;2;624;17163;2821
Hovedstaden;2-9-2020;F;37;0;3;624;17200;2824
Midtjylland;2-9-2020;F;6;0;0;624;17206;2824
Nordjylland;2-9-2020;F;2;0;0;624;17208;2824
Sjælland;2-9-2020;F;5;0;0;624;17213;2824
Syddanmark;2-9-2020;F;18;0;0;624;17231;2824
Hovedstaden;2-9-2020;M;48;0;8;624;17279;2832
Midtjylland;2-9-2020;M;11;0;1;624;17290;2833
Nordjylland;2-9-2020;M;1;0;0;624;17291;2833
Sjælland;2-9-2020;M;9;0;0;624;17300;2833
Syddanmark;2-9-2020;M;18;0;1;624;17318;2834
Hovedstaden;3-9-2020;F;53;0;3;624;17371;2837
Midtjylland;3-9-2020;F;10;0;1;624;17381;2838
Nordjylland;3-9-2020;F;4;0;0;624;17385;2838
Sjælland;3-9-2020;F;6;0;0;624;17391;2838
Syddanmark;3-9-2020;F;20;0;0;624;17411;2838
Hovedstaden;3-9-2020;M;62;0;3;624;17473;2841
Midtjylland;3-9-2020;M;6;0;1;624;17479;2842
Nordjylland;3-9-2020;M;7;0;0;624;17486;2842
Sjælland;3-9-2020;M;9;0;1;624;17495;2843
Syddanmark;3-9-2020;M;15;0;0;624;17510;2843
Hovedstaden;4-9-2020;F;68;1;3;625;17578;2846
Midtjylland;4-9-2020;F;10;0;0;625;17588;2846
Nordjylland;4-9-2020;F;8;0;0;625;17596;2846
Sjælland;4-9-2020;F;8;0;1;625;17604;2847
Syddanmark;4-9-2020;F;12;0;0;625;17616;2847
Hovedstaden;4-9-2020;M;46;1;1;626;17662;2848
Midtjylland;4-9-2020;M;11;0;2;626;17673;2850
Nordjylland;4-9-2020;M;7;0;1;626;17680;2851
Sjælland;4-9-2020;M;15;0;1;626;17695;2852
Syddanmark;4-9-2020;M;14;0;0;626;17709;2852
Hovedstaden;5-9-2020;F;49;0;3;626;17758;2855
Midtjylland;5-9-2020;F;8;0;0;626;17766;2855
Nordjylland;5-9-2020;F;4;0;2;626;17770;2857
Sjælland;5-9-2020;F;5;0;0;626;17775;2857
Syddanmark;5-9-2020;F;24;0;0;626;17799;2857
Hovedstaden;5-9-2020;M;54;0;1;626;17853;2858
Midtjylland;5-9-2020;M;6;0;1;626;17859;2859
Nordjylland;5-9-2020;M;8;0;0;626;17867;2859
Sjælland;5-9-2020;M;12;0;0;626;17879;2859
Syddanmark;5-9-2020;M;27;0;2;626;17906;2861
Hovedstaden;6-9-2020;F;89;1;2;627;17995;2863
Midtjylland;6-9-2020;F;13;0;1;627;18008;2864
Nordjylland;6-9-2020;F;7;0;0;627;18015;2864
Sjælland;6-9-2020;F;9;0;1;627;18024;2865
Syddanmark;6-9-2020;F;9;0;0;627;18033;2865
Hovedstaden;6-9-2020;M;62;0;3;627;18095;2868
Midtjylland;6-9-2020;M;5;0;1;627;18100;2869
Nordjylland;6-9-2020;M;9;0;1;627;18109;2870
Sjælland;6-9-2020;M;9;0;0;627;18118;2870
Syddanmark;6-9-2020;M;10;0;0;627;18128;2870
Hovedstaden;7-9-2020;F;79;0;3;627;18207;2873
Midtjylland;7-9-2020;F;14;0;2;627;18221;2875
Nordjylland;7-9-2020;F;16;0;2;627;18237;2877
Sjælland;7-9-2020;F;41;0;2;627;18278;2879
Syddanmark;7-9-2020;F;13;0;0;627;18291;2879
Hovedstaden;7-9-2020;M;79;1;3;628;18370;2882
Midtjylland;7-9-2020;M;6;0;0;628;18376;2882
Nordjylland;7-9-2020;M;11;0;0;628;18387;2882
Sjælland;7-9-2020;M;25;0;1;628;18412;2883
Syddanmark;7-9-2020;M;11;0;0;628;18423;2883
Hovedstaden;8-9-2020;F;75;0;3;628;18498;2886
Midtjylland;8-9-2020;F;26;0;3;628;18524;2889
Nordjylland;8-9-2020;F;11;0;1;628;18535;2890
Sjælland;8-9-2020;F;25;0;1;628;18560;2891
Syddanmark;8-9-2020;F;32;0;0;628;18592;2891
Hovedstaden;8-9-2020;M;82;0;2;628;18674;2893
Midtjylland;8-9-2020;M;15;0;0;628;18689;2893
Nordjylland;8-9-2020;M;13;1;1;629;18702;2894
Sjælland;8-9-2020;M;25;0;1;629;18727;2895
Syddanmark;8-9-2020;M;23;1;2;630;18750;2897
Hovedstaden;9-9-2020;F;67;0;3;630;18817;2900
Midtjylland;9-9-2020;F;16;0;1;630;18833;2901
Nordjylland;9-9-2020;F;14;0;0;630;18847;2901
Sjælland;9-9-2020;F;7;0;0;630;18854;2901
Syddanmark;9-9-2020;F;30;0;0;630;18884;2901
Hovedstaden;9-9-2020;M;90;1;5;631;18974;2906
Midtjylland;9-9-2020;M;12;0;1;631;18986;2907
Nordjylland;9-9-2020;M;15;0;0;631;19001;2907
Sjælland;9-9-2020;M;17;0;1;631;19018;2908
Syddanmark;9-9-2020;M;25;0;2;631;19043;2910
Hovedstaden;10-9-2020;F;101;2;5;633;19144;2915
Midtjylland;10-9-2020;F;8;0;0;633;19152;2915
Nordjylland;10-9-2020;F;18;0;0;633;19170;2915
Sjælland;10-9-2020;F;30;0;1;633;19200;2916
Syddanmark;10-9-2020;F;35;0;1;633;19235;2917
Hovedstaden;10-9-2020;M;96;2;8;635;19331;2925
Midtjylland;10-9-2020;M;20;0;0;635;19351;2925
Nordjylland;10-9-2020;M;19;1;1;636;19370;2926
Sjælland;10-9-2020;M;20;0;0;636;19390;2926
Syddanmark;10-9-2020;M;20;0;2;636;19410;2928
Hovedstaden;11-9-2020;F;93;1;3;637;19503;2931
Midtjylland;11-9-2020;F;28;0;0;637;19531;2931
Nordjylland;11-9-2020;F;21;0;1;637;19552;2932
Sjælland;11-9-2020;F;10;0;0;637;19562;2932
Syddanmark;11-9-2020;F;21;0;0;637;19583;2932
Hovedstaden;11-9-2020;M;76;0;4;637;19659;2936
Midtjylland;11-9-2020;M;43;0;5;637;19702;2941
Nordjylland;11-9-2020;M;22;0;0;637;19724;2941
Sjælland;11-9-2020;M;11;0;0;637;19735;2941
Syddanmark;11-9-2020;M;21;0;1;637;19756;2942
Hovedstaden;12-9-2020;F;89;0;3;637;19845;2945
Midtjylland;12-9-2020;F;14;0;1;637;19859;2946
Nordjylland;12-9-2020;F;12;0;0;637;19871;2946
Sjælland;12-9-2020;F;11;0;0;637;19882;2946
Syddanmark;12-9-2020;F;20;0;0;637;19902;2946
Hovedstaden;12-9-2020;M;85;2;4;639;19987;2950
Midtjylland;12-9-2020;M;15;0;1;639;20002;2951
Nordjylland;12-9-2020;M;19;1;1;640;20021;2952
Sjælland;12-9-2020;M;12;0;0;640;20033;2952
Syddanmark;12-9-2020;M;24;0;1;640;20057;2953
Hovedstaden;13-9-2020;F;82;0;6;640;20139;2959
Midtjylland;13-9-2020;F;7;0;0;640;20146;2959
Nordjylland;13-9-2020;F;19;0;0;640;20165;2959
Sjælland;13-9-2020;F;8;1;1;641;20173;2960
Syddanmark;13-9-2020;F;20;0;1;641;20193;2961
Hovedstaden;13-9-2020;M;87;1;4;642;20280;2965
Midtjylland;13-9-2020;M;9;0;0;642;20289;2965
Nordjylland;13-9-2020;M;23;0;3;642;20312;2968
Sjælland;13-9-2020;M;9;0;1;642;20321;2969
Syddanmark;13-9-2020;M;32;1;1;643;20353;2970
Hovedstaden;14-9-2020;F;114;0;3;643;20467;2973
Midtjylland;14-9-2020;F;18;0;0;643;20485;2973
Nordjylland;14-9-2020;F;19;0;1;643;20504;2974
Sjælland;14-9-2020;F;16;0;2;643;20520;2976
Syddanmark;14-9-2020;F;20;0;1;643;20540;2977
Hovedstaden;14-9-2020;M;108;0;5;643;20648;2982
Midtjylland;14-9-2020;M;18;0;1;643;20666;2983
Nordjylland;14-9-2020;M;29;1;3;644;20695;2986
Sjælland;14-9-2020;M;15;0;0;644;20710;2986
Syddanmark;14-9-2020;M;23;0;1;644;20733;2987
Hovedstaden;15-9-2020;F;136;0;7;644;20869;2994
Midtjylland;15-9-2020;F;22;0;3;644;20891;2997
Nordjylland;15-9-2020;F;32;0;2;644;20923;2999
Sjælland;15-9-2020;F;17;0;0;644;20940;2999
Syddanmark;15-9-2020;F;29;0;1;644;20969;3000
Hovedstaden;15-9-2020;M;104;0;4;644;21073;3004
Midtjylland;15-9-2020;M;25;0;3;644;21098;3007
Nordjylland;15-9-2020;M;29;0;1;644;21127;3008
Sjælland;15-9-2020;M;20;0;3;644;21147;3011
Syddanmark;15-9-2020;M;21;0;0;644;21168;3011
Hovedstaden;16-9-2020;F;150;2;12;646;21318;3023
Midtjylland;16-9-2020;F;29;0;2;646;21347;3025
Nordjylland;16-9-2020;F;38;0;0;646;21385;3025
Sjælland;16-9-2020;F;30;0;0;646;21415;3025
Syddanmark;16-9-2020;F;33;0;0;646;21448;3025
Hovedstaden;16-9-2020;M;156;1;7;647;21604;3032
Midtjylland;16-9-2020;M;34;0;2;647;21638;3034
Nordjylland;16-9-2020;M;28;1;2;648;21666;3036
Sjælland;16-9-2020;M;16;0;2;648;21682;3038
Syddanmark;16-9-2020;M;35;0;2;648;21717;3040
Hovedstaden;17-9-2020;F;142;1;5;649;21859;3045
Midtjylland;17-9-2020;F;32;0;1;649;21891;3046
Nordjylland;17-9-2020;F;13;0;1;649;21904;3047
Sjælland;17-9-2020;F;23;0;1;649;21927;3048
Syddanmark;17-9-2020;F;27;0;0;649;21954;3048
Hovedstaden;17-9-2020;M;170;0;5;649;22124;3053
Midtjylland;17-9-2020;M;29;0;0;649;22153;3053
Nordjylland;17-9-2020;M;24;1;4;650;22177;3057
Sjælland;17-9-2020;M;21;0;0;650;22198;3057
Syddanmark;17-9-2020;M;35;0;1;650;22233;3058
Hovedstaden;18-9-2020;F;133;1;6;651;22366;3064
Midtjylland;18-9-2020;F;37;0;1;651;22403;3065
Nordjylland;18-9-2020;F;21;0;1;651;22424;3066
Sjælland;18-9-2020;F;21;0;0;651;22445;3066
Syddanmark;18-9-2020;F;29;0;3;651;22474;3069
Hovedstaden;18-9-2020;M;127;0;5;651;22601;3074
Midtjylland;18-9-2020;M;32;0;1;651;22633;3075
Nordjylland;18-9-2020;M;25;0;1;651;22658;3076
Sjælland;18-9-2020;M;27;0;1;651;22685;3077
Syddanmark;18-9-2020;M;23;0;0;651;22708;3077
Hovedstaden;19-9-2020;F;114;1;7;652;22822;3084
Midtjylland;19-9-2020;F;23;0;1;652;22845;3085
Nordjylland;19-9-2020;F;14;0;1;652;22859;3086
Sjælland;19-9-2020;F;20;0;1;652;22879;3087
Syddanmark;19-9-2020;F;35;0;2;652;22914;3089
Hovedstaden;19-9-2020;M;114;0;3;652;23028;3092
Midtjylland;19-9-2020;M;26;0;0;652;23054;3092
Nordjylland;19-9-2020;M;17;0;2;652;23071;3094
Sjælland;19-9-2020;M;28;0;2;652;23099;3096
Syddanmark;19-9-2020;M;25;0;1;652;23124;3097
Hovedstaden;20-9-2020;F;105;2;5;654;23229;3102
Midtjylland;20-9-2020;F;21;0;1;654;23250;3103
Nordjylland;20-9-2020;F;24;0;1;654;23274;3104
Sjælland;20-9-2020;F;24;0;0;654;23298;3104
Syddanmark;20-9-2020;F;20;0;2;654;23318;3106
Hovedstaden;20-9-2020;M;122;0;5;654;23440;3111
Midtjylland;20-9-2020;M;30;0;1;654;23470;3112
Nordjylland;20-9-2020;M;18;0;1;654;23488;3113
Sjælland;20-9-2020;M;22;0;0;654;23510;3113
Syddanmark;20-9-2020;M;22;0;1;654;23532;3114
Hovedstaden;21-9-2020;F;137;0;7;654;23669;3121
Midtjylland;21-9-2020;F;42;0;2;654;23711;3123
Nordjylland;21-9-2020;F;22;0;1;654;23733;3124
Sjælland;21-9-2020;F;34;0;1;654;23767;3125
Syddanmark;21-9-2020;F;30;0;1;654;23797;3126
Hovedstaden;21-9-2020;M;161;0;2;654;23958;3128
Midtjylland;21-9-2020;M;23;0;0;654;23981;3128
Nordjylland;21-9-2020;M;36;0;0;654;24017;3128
Sjælland;21-9-2020;M;22;0;1;654;24039;3129
Syddanmark;21-9-2020;M;28;0;0;654;24067;3129
Hovedstaden;22-9-2020;F;153;1;6;655;24220;3135
Midtjylland;22-9-2020;F;50;0;0;655;24270;3135
Nordjylland;22-9-2020;F;21;0;0;655;24291;3135
Sjælland;22-9-2020;F;29;0;0;655;24320;3135
Syddanmark;22-9-2020;F;34;0;1;655;24354;3136
Hovedstaden;22-9-2020;M;148;2;7;657;24502;3143
Midtjylland;22-9-2020;M;43;0;1;657;24545;3144
Nordjylland;22-9-2020;M;32;0;0;657;24577;3144
Sjælland;22-9-2020;M;39;0;2;657;24616;3146
Syddanmark;22-9-2020;M;38;1;3;658;24654;3149
Hovedstaden;23-9-2020;F;144;1;6;659;24798;3155
Midtjylland;23-9-2020;F;52;0;2;659;24850;3157
Nordjylland;23-9-2020;F;24;0;0;659;24874;3157
Sjælland;23-9-2020;F;49;0;2;659;24923;3159
Syddanmark;23-9-2020;F;39;0;1;659;24962;3160
Hovedstaden;23-9-2020;M;155;0;4;659;25117;3164
Midtjylland;23-9-2020;M;72;0;4;659;25189;3168
Nordjylland;23-9-2020;M;25;0;1;659;25214;3169
Sjælland;23-9-2020;M;46;2;5;661;25260;3174
Syddanmark;23-9-2020;M;45;0;1;661;25305;3175
Hovedstaden;24-9-2020;F;140;0;3;661;25445;3178
Midtjylland;24-9-2020;F;58;0;3;661;25503;3181
Nordjylland;24-9-2020;F;20;0;0;661;25523;3181
Sjælland;24-9-2020;F;41;0;1;661;25564;3182
Syddanmark;24-9-2020;F;43;0;4;661;25607;3186
Hovedstaden;24-9-2020;M;146;1;7;662;25753;3193
Midtjylland;24-9-2020;M;55;1;0;663;25808;3193
Nordjylland;24-9-2020;M;18;0;0;663;25826;3193
Sjælland;24-9-2020;M;40;0;2;663;25866;3195
Syddanmark;24-9-2020;M;37;0;5;663;25903;3200
Hovedstaden;25-9-2020;F;103;0;6;663;26006;3206
Midtjylland;25-9-2020;F;52;0;2;663;26058;3208
Nordjylland;25-9-2020;F;13;0;1;663;26071;3209
Sjælland;25-9-2020;F;31;0;2;663;26102;3211
Syddanmark;25-9-2020;F;40;0;0;663;26142;3211
Hovedstaden;25-9-2020;M;104;1;4;664;26246;3215
Midtjylland;25-9-2020;M;52;0;2;664;26298;3217
Nordjylland;25-9-2020;M;27;0;0;664;26325;3217
Sjælland;25-9-2020;M;34;0;2;664;26359;3219
Syddanmark;25-9-2020;M;32;0;1;664;26391;3220
Hovedstaden;26-9-2020;F;84;0;3;664;26475;3223
Midtjylland;26-9-2020;F;50;0;1;664;26525;3224
Nordjylland;26-9-2020;F;15;0;1;664;26540;3225
Sjælland;26-9-2020;F;29;0;2;664;26569;3227
Syddanmark;26-9-2020;F;18;0;1;664;26587;3228
Hovedstaden;26-9-2020;M;94;0;2;664;26681;3230
Midtjylland;26-9-2020;M;42;0;1;664;26723;3231
Nordjylland;26-9-2020;M;17;0;0;664;26740;3231
Sjælland;26-9-2020;M;24;0;2;664;26764;3233
Syddanmark;26-9-2020;M;20;0;0;664;26784;3233
Hovedstaden;27-9-2020;F;102;0;2;664;26886;3235
Midtjylland;27-9-2020;F;47;0;1;664;26933;3236
Nordjylland;27-9-2020;F;9;0;1;664;26942;3237
Sjælland;27-9-2020;F;23;0;0;664;26965;3237
Syddanmark;27-9-2020;F;14;0;0;664;26979;3237
Hovedstaden;27-9-2020;M;80;0;4;664;27059;3241
Midtjylland;27-9-2020;M;32;0;3;664;27091;3244
Nordjylland;27-9-2020;M;13;1;2;665;27104;3246
Sjælland;27-9-2020;M;16;0;0;665;27120;3246
Syddanmark;27-9-2020;M;21;0;0;665;27141;3246
Hovedstaden;28-9-2020;F;118;0;5;665;27259;3251
Midtjylland;28-9-2020;F;52;0;1;665;27311;3252
Nordjylland;28-9-2020;F;14;0;0;665;27325;3252
Sjælland;28-9-2020;F;28;0;0;665;27353;3252
Syddanmark;28-9-2020;F;33;0;2;665;27386;3254
Hovedstaden;28-9-2020;M;94;1;3;666;27480;3257
Midtjylland;28-9-2020;M;57;0;3;666;27537;3260
Nordjylland;28-9-2020;M;25;0;0;666;27562;3260
Sjælland;28-9-2020;M;34;0;1;666;27596;3261
Syddanmark;28-9-2020;M;26;0;2;666;27622;3263
Hovedstaden;29-9-2020;F;100;0;4;666;27722;3267
Midtjylland;29-9-2020;F;56;0;4;666;27778;3271
Nordjylland;29-9-2020;F;17;0;0;666;27795;3271
Sjælland;29-9-2020;F;28;0;0;666;27823;3271
Syddanmark;29-9-2020;F;27;1;1;667;27850;3272
Hovedstaden;29-9-2020;M;90;0;3;667;27940;3275
Midtjylland;29-9-2020;M;51;1;2;668;27991;3277
Nordjylland;29-9-2020;M;27;0;2;668;28018;3279
Sjælland;29-9-2020;M;24;0;1;668;28042;3280
Syddanmark;29-9-2020;M;29;0;1;668;28071;3281
Hovedstaden;30-9-2020;F;97;0;3;668;28168;3284
Midtjylland;30-9-2020;F;46;0;0;668;28214;3284
Nordjylland;30-9-2020;F;13;0;1;668;28227;3285
Sjælland;30-9-2020;F;28;0;3;668;28255;3288
Syddanmark;30-9-2020;F;20;0;1;668;28275;3289
Hovedstaden;30-9-2020;M;78;0;3;668;28353;3292
Midtjylland;30-9-2020;M;49;0;1;668;28402;3293
Nordjylland;30-9-2020;M;26;0;0;668;28428;3293
Sjælland;30-9-2020;M;31;0;0;668;28459;3293
Syddanmark;30-9-2020;M;46;0;1;668;28505;3294
Hovedstaden;1-10-2020;F;90;0;3;668;28595;3297
Midtjylland;1-10-2020;F;54;0;1;668;28649;3298
Nordjylland;1-10-2020;F;20;2;2;670;28669;3300
Sjælland;1-10-2020;F;30;0;0;670;28699;3300
Syddanmark;1-10-2020;F;25;1;0;671;28724;3300
Hovedstaden;1-10-2020;M;74;0;3;671;28798;3303
Midtjylland;1-10-2020;M;54;1;3;672;28852;3306
Nordjylland;1-10-2020;M;21;1;2;673;28873;3308
Sjælland;1-10-2020;M;26;0;0;673;28899;3308
Syddanmark;1-10-2020;M;33;0;2;673;28932;3310
Hovedstaden;2-10-2020;F;74;0;3;673;29006;3313
Midtjylland;2-10-2020;F;39;0;2;673;29045;3315
Nordjylland;2-10-2020;F;19;0;1;673;29064;3316
Sjælland;2-10-2020;F;21;0;0;673;29085;3316
Syddanmark;2-10-2020;F;20;0;0;673;29105;3316
Hovedstaden;2-10-2020;M;67;0;3;673;29172;3319
Midtjylland;2-10-2020;M;62;1;3;674;29234;3322
Nordjylland;2-10-2020;M;17;0;1;674;29251;3323
Sjælland;2-10-2020;M;20;0;1;674;29271;3324
Syddanmark;2-10-2020;M;27;0;0;674;29298;3324
Hovedstaden;3-10-2020;F;79;0;3;674;29377;3327
Midtjylland;3-10-2020;F;27;0;1;674;29404;3328
Nordjylland;3-10-2020;F;12;0;0;674;29416;3328
Sjælland;3-10-2020;F;17;0;0;674;29433;3328
Syddanmark;3-10-2020;F;29;0;0;674;29462;3328
Hovedstaden;3-10-2020;M;67;0;0;674;29529;3328
Midtjylland;3-10-2020;M;43;0;3;674;29572;3331
Nordjylland;3-10-2020;M;19;0;0;674;29591;3331
Sjælland;3-10-2020;M;15;0;0;674;29606;3331
Syddanmark;3-10-2020;M;30;0;0;674;29636;3331
Hovedstaden;4-10-2020;F;63;0;6;674;29699;3337
Midtjylland;4-10-2020;F;29;0;1;674;29728;3338
Nordjylland;4-10-2020;F;11;0;0;674;29739;3338
Sjælland;4-10-2020;F;13;0;0;674;29752;3338
Syddanmark;4-10-2020;F;21;1;0;675;29773;3338
Hovedstaden;4-10-2020;M;83;0;3;675;29856;3341
Midtjylland;4-10-2020;M;29;0;2;675;29885;3343
Nordjylland;4-10-2020;M;19;0;1;675;29904;3344
Sjælland;4-10-2020;M;17;0;2;675;29921;3346
Syddanmark;4-10-2020;M;21;0;2;675;29942;3348
Hovedstaden;5-10-2020;F;89;1;5;676;30031;3353
Midtjylland;5-10-2020;F;55;0;4;676;30086;3357
Nordjylland;5-10-2020;F;19;0;0;676;30105;3357
Sjælland;5-10-2020;F;23;0;0;676;30128;3357
Syddanmark;5-10-2020;F;33;0;0;676;30161;3357
Hovedstaden;5-10-2020;M;72;2;8;678;30233;3365
Midtjylland;5-10-2020;M;50;0;3;678;30283;3368
Nordjylland;5-10-2020;M;41;0;1;678;30324;3369
Sjælland;5-10-2020;M;17;0;2;678;30341;3371
Syddanmark;5-10-2020;M;28;0;0;678;30369;3371
Hovedstaden;6-10-2020;F;91;1;2;679;30460;3373
Midtjylland;6-10-2020;F;35;0;1;679;30495;3374
Nordjylland;6-10-2020;F;15;0;1;679;30510;3375
Sjælland;6-10-2020;F;19;0;0;679;30529;3375
Syddanmark;6-10-2020;F;23;0;1;679;30552;3376
Hovedstaden;6-10-2020;M;103;0;3;679;30655;3379
Midtjylland;6-10-2020;M;73;0;3;679;30728;3382
Nordjylland;6-10-2020;M;16;0;1;679;30744;3383
Sjælland;6-10-2020;M;21;0;1;679;30765;3384
Syddanmark;6-10-2020;M;30;0;1;679;30795;3385
Hovedstaden;7-10-2020;F;80;3;7;682;30875;3392
Midtjylland;7-10-2020;F;47;0;2;682;30922;3394
Nordjylland;7-10-2020;F;24;0;1;682;30946;3395
Sjælland;7-10-2020;F;18;0;0;682;30964;3395
Syddanmark;7-10-2020;F;32;1;1;683;30996;3396
Hovedstaden;7-10-2020;M;78;1;5;684;31074;3401
Midtjylland;7-10-2020;M;105;0;4;684;31179;3405
Nordjylland;7-10-2020;M;25;0;0;684;31204;3405
Sjælland;7-10-2020;M;19;0;1;684;31223;3406
Syddanmark;7-10-2020;M;24;2;1;686;31247;3407
Hovedstaden;8-10-2020;F;73;0;1;686;31320;3408
Midtjylland;8-10-2020;F;67;0;2;686;31387;3410
Nordjylland;8-10-2020;F;20;0;0;686;31407;3410
Sjælland;8-10-2020;F;15;1;2;687;31422;3412
Syddanmark;8-10-2020;F;27;0;0;687;31449;3412
Hovedstaden;8-10-2020;M;80;0;3;687;31529;3415
Midtjylland;8-10-2020;M;69;0;3;687;31598;3418
Nordjylland;8-10-2020;M;30;0;2;687;31628;3420
Sjælland;8-10-2020;M;13;0;0;687;31641;3420
Syddanmark;8-10-2020;M;28;0;1;687;31669;3421
Hovedstaden;9-10-2020;F;72;1;4;688;31741;3425
Midtjylland;9-10-2020;F;55;0;4;688;31796;3429
Nordjylland;9-10-2020;F;22;0;0;688;31818;3429
Sjælland;9-10-2020;F;16;0;0;688;31834;3429
Syddanmark;9-10-2020;F;34;0;1;688;31868;3430
Hovedstaden;9-10-2020;M;79;0;3;688;31947;3433
Midtjylland;9-10-2020;M;61;0;2;688;32008;3435
Nordjylland;9-10-2020;M;21;0;0;688;32029;3435
Sjælland;9-10-2020;M;14;0;1;688;32043;3436
Syddanmark;9-10-2020;M;37;2;3;690;32080;3439
Hovedstaden;10-10-2020;F;48;0;3;690;32128;3442
Midtjylland;10-10-2020;F;39;0;1;690;32167;3443
Nordjylland;10-10-2020;F;14;0;1;690;32181;3444
Sjælland;10-10-2020;F;13;0;0;690;32194;3444
Syddanmark;10-10-2020;F;16;0;0;690;32210;3444
Hovedstaden;10-10-2020;M;60;0;5;690;32270;3449
Midtjylland;10-10-2020;M;48;0;3;690;32318;3452
Nordjylland;10-10-2020;M;18;0;1;690;32336;3453
Sjælland;10-10-2020;M;12;0;1;690;32348;3454
Syddanmark;10-10-2020;M;13;0;0;690;32361;3454
Hovedstaden;11-10-2020;F;54;1;6;691;32415;3460
Midtjylland;11-10-2020;F;34;0;1;691;32449;3461
Nordjylland;11-10-2020;F;12;0;0;691;32461;3461
Sjælland;11-10-2020;F;16;0;1;691;32477;3462
Syddanmark;11-10-2020;F;18;0;0;691;32495;3462
Hovedstaden;11-10-2020;M;44;0;1;691;32539;3463
Midtjylland;11-10-2020;M;32;0;2;691;32571;3465
Nordjylland;11-10-2020;M;18;1;1;692;32589;3466
Sjælland;11-10-2020;M;13;0;0;692;32602;3466
