,region,income
1,United Kingdom,28783.7975546
2,England,29465.587254600003
3,North East,23174.031903000003
4,North West,25038.044942800003
5,Yorkshire and The Humber,24087.630101000002
6,East Midlands,24922.140693800004
7,West Midlands,24847.143826800002
8,East of England,30278.280577
9,London,40037.4183428
10,South East,33159.523849200006
11,South West,28508.3545158
12,Wales,23317.20774
13,Scotland,26687.976016800003
14,Northern Ireland,23644.466796
