,areaname,population,date,newcasesbypublishdate,cases_per_100k
460,East Midlands,4533000,01/07/2020,10820,238.6940216192367
4212,West Midlands,2928000,01/07/2020,8099,276.6051912568306
5977,Scotland,5454000,01/07/2020,8,0.1466813348001467
2068,North East,2597000,01/07/2020,4484,172.6607624181748
996,East of England,5847000,01/07/2020,7898,135.07781768428254
4770,Wales,3136000,01/07/2020,32,1.0204081632653061
3847,West Midlands,2928000,01/07/2021,2435,83.16256830601093
5012,Northern Ireland,1885000,01/07/2021,326,17.29442970822281
95,East Midlands,4533000,01/07/2021,1561,34.43635561438341
5612,Scotland,5454000,01/07/2021,4234,77.63109644297762
4405,Wales,3136000,01/07/2021,481,15.338010204081634
2239,North West,7300000,01/07/2021,4366,59.80821917808219
1703,North East,2597000,01/07/2021,2496,96.1108971890643
1167,London,8899375,01/07/2021,2705,30.395392934897114
631,East of England,5847000,01/07/2021,1502,25.68838720711476
2775,South East,9175000,01/07/2021,2725,29.70027247956403
3311,South West,5616000,01/07/2021,1767,31.463675213675216
429,East Midlands,4533000,01/08/2020,77,1.6986543128171188
1501,London,8899375,01/08/2020,103,1.1573846477983005
3109,South East,9175000,01/08/2020,72,0.7847411444141689
4181,West Midlands,2928000,01/08/2020,64,2.185792349726776
2037,North East,2597000,01/08/2020,14,0.5390835579514824
3645,South West,5616000,01/08/2020,49,0.8725071225071225
4739,Wales,3136000,01/08/2020,21,0.6696428571428571
2573,North West,7300000,01/08/2020,172,2.356164383561644
5346,Northern Ireland,1885000,01/08/2020,0,0.0
5946,Scotland,5454000,01/08/2020,18,0.33003300330033003
965,East of England,5847000,01/08/2020,61,1.043270053018642
3280,South West,5616000,01/08/2021,2328,41.452991452991455
4981,Northern Ireland,1885000,01/08/2021,1072,56.870026525198945
4374,Wales,3136000,01/08/2021,719,22.927295918367346
1136,London,8899375,01/08/2021,3121,35.069878502703844
3816,West Midlands,2928000,01/08/2021,1921,65.60792349726775
64,East Midlands,4533000,01/08/2021,2028,44.73858371939113
2208,North West,7300000,01/08/2021,2939,40.26027397260274
2744,South East,9175000,01/08/2021,2912,31.73841961852861
1672,North East,2597000,01/08/2021,1035,39.8536773199846
600,East of England,5847000,01/08/2021,2084,35.64220968017787
5581,Scotland,5454000,01/08/2021,1034,18.958562522918957
5915,Scotland,5454000,01/09/2020,154,2.8236156949028235
3614,South West,5616000,01/09/2020,49,0.8725071225071225
2542,North West,7300000,01/09/2020,200,2.7397260273972606
398,East Midlands,4533000,01/09/2020,61,1.3456871828810941
4150,West Midlands,2928000,01/09/2020,101,3.4494535519125686
5315,Northern Ireland,1885000,01/09/2020,49,2.59946949602122
3078,South East,9175000,01/09/2020,127,1.3841961852861036
4708,Wales,3136000,01/09/2020,51,1.6262755102040816
934,East of England,5847000,01/09/2020,108,1.8471010774756285
2006,North East,2597000,01/09/2020,89,3.4270311898344246
1470,London,8899375,01/09/2020,188,2.112507900835733
4343,Wales,3136000,01/09/2021,3328,106.12244897959184
2713,South East,9175000,01/09/2021,3783,41.23160762942779
3785,West Midlands,2928000,01/09/2021,2748,93.85245901639345
1641,North East,2597000,01/09/2021,1277,49.17212167886022
33,East Midlands,4533000,01/09/2021,2484,54.79814692256784
4950,Northern Ireland,1885000,01/09/2021,1472,78.09018567639258
569,East of England,5847000,01/09/2021,2662,45.52762100222336
3249,South West,5616000,01/09/2021,2414,42.984330484330485
2177,North West,7300000,01/09/2021,3309,45.32876712328767
5550,Scotland,5454000,01/09/2021,6170,113.12797946461312
1105,London,8899375,01/09/2021,2834,31.84493293068333
1976,North East,2597000,01/10/2020,363,13.97766653831344
368,East Midlands,4533000,01/10/2020,428,9.441870725788661
2512,North West,7300000,01/10/2020,2031,27.82191780821918
